nit_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,num_HHI,val_HHI,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,pnum_ic4k,pval_ic4k,pnum_adicion_tiempo,pval_adicion_tiempo,pnum_adicion_cuantia,pval_adicion_cuantia
800002468-7,296,1499902092,5067236.797297297,3401698.5,4528211.137279544,54,4,83,2.5543279766252742,3.044752810201876,2.027027027027027,3.0292602592089724,28.040540540540544,20.945945945945947,22.943465165858306,0,0,0,0
800003124-9,473,6012206300,12710795.5602537,6221544,49709695.41684962,33,4,154,1.2197792865475643,4.720994589666604,0,0,32.55813953488372,10.993657505285412,33.63024738522362,0,0,0.21141649048625794,1.6370975327310375
800006850,7141,162904914821,22812619.355972555,5866666,153586392.9875782,101,4,1694,0.1155491577509074,1.3391267623277747,0.014003640946646129,0.0030250775462575138,23.72216776361854,1.2743313261447977,17.49242400532325,23.72216776361854,54.60967564595932,25.514633804789245,20.514547269934145
800014918,2978,623569307676,209391977.0570853,30761900,1728983100.6273499,178,5,781,0.4784132214705467,4.545325909804266,0,0,26.225654801880456,8.09267965077233,35.56783014122301,15.883143049026192,10.560228322001175,31.631967763599732,15.112178538935318
800025221,126,1973209013,15660388.992063493,5642800,70081038.0970316,11,3,58,2.8596623834719073,16.986241312319024,96.82539682539682,49.33666137678442,46.03174603174603,19.841269841269842,54.590448751411614,0,0,0,0
800026173,1011,10013529631,9904579.259149358,5880444,11554526.118799191,74,4,316,0.6426832048260431,1.1249922763813427,50.247279920870426,53.8775212618133,31.25618199802176,6.330365974282888,12.93006724613546,10.385756676557865,10.141453520533151,11.869436201780417,5.300871706183699
800029509,191,1819270747,9524977.732984293,6000000,16048818.254945919,36,3,83,1.8502782270222855,9.882494617182275,100,100,43.455497382198956,15.18324607329843,40.83433899132552,0,0,0,0
800030924,3483,61277458850,17593298.550100487,8586000,48529070.650802284,110,4,1055,0.17077327891537333,0.7700369382816704,0,0,30.289979902383003,2.239448751076658,13.255277260897708,0.5455067470571346,0.4992824563577565,0.6316393913293138,0.23839576532961926
800037021,1699,247452177989,145645778.68687463,12544000,715609335.6577617,89,4,667,0.27440578036244007,5.814660817801148,0,0,39.2583872866392,4.767510300176574,40.78911516733015,7.769276044732195,21.974362362891505,9.535020600353148,7.304914805721993
800037202,512,5548463657,10836843.080078125,5561545,53599491.40144864,13,4,168,1.021575927734375,5.6570466213111965,0,0,32.8125,9.1796875,34.783199986633704,0.9765625,1.0716605325828101,1.5625,1.2178249724092947
800037244,271,8278231614,30546980.125461254,8800000,116343868.42806812,45,4,113,1.8858675671627563,17.982220309057855,97.7859778597786,67.8328704104316,41.69741697416974,16.605166051660518,64.90693494143156,1.8450184501845017,1.8180775407203487,5.166051660516605,3.035461348714083
