nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3,IRCC,IRCCG,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3,inf_regaliaspc_m,inf_regaliaspc_m1_2,inf_regaliaspc_m1_3,inf_ingresos_m_r_2,inf_ingresos_m_r_3,inf_financiamiento_m_r_2,inf_financiamiento_m_r_3,inf_regaliaspc_m_r_2,inf_regaliaspc_m_r_3,inf_nproyectos_m_r_2,inf_nproyectos_m_r_3,inf_vproyectos_m_r_2,inf_igpr_m_r_3,inf_desempennofiscal_m_r_2,inf_desempennofiscal_m_r_3,inf_peducacion_m_r_2,inf_peducacion_m_r_3,inf_psalud_m_r_2,inf_psalud_m_r_3
800014918,6,35.83,-4.61,80.60000000000001,-18.45,32.96,-14.510000000000002,-13.99,56.13,332.02,-77.18,119.04999999999998,-0.72,0,-20,38.440000000000005,-21.48,0,0,1.9217049027347333,-17.68265628081246,1,1,1,1,12.171062230817538,Bajo,0.62,23.990000000000002,0,-13.59,0,2.58,0,6.79,0,4065.12,6508.3,0,31.119999999999997,0,-80.71000000000001,0,-37.54,0,0,0,-98.37,0,-0.76,0,-1.4000000000000001,0,11.68,0
800014918,6,35.83,-4.61,80.60000000000001,-18.45,32.96,-14.510000000000002,-13.99,56.13,332.02,-77.18,119.04999999999998,-0.72,0,-20,38.440000000000005,-21.48,0,0,1.9217049027347333,-17.68265628081246,1,1,1,1,12.171062230817538,Bajo,0.62,23.990000000000002,0,-13.59,0,2.58,0,6.79,0,4626.405,0,4065.12,0,21.85,0,1244.31,0,13.81,0,0,0,-4.2,0,-1.72,0,-1.16,0,7.06
800014918,6,35.83,-4.61,80.60000000000001,-18.45,32.96,-14.510000000000002,-13.99,56.13,332.02,-77.18,119.04999999999998,-0.72,0,-20,38.440000000000005,-21.48,0,0,1.9217049027347333,-17.68265628081246,1,1,1,1,12.171062230817538,Bajo,3.8699999999999997,0,-22.38,0,-11.899999999999999,0,3.15,0,1.96,4065.12,6508.3,0,31.119999999999997,0,-80.71000000000001,0,-37.54,0,0,0,-98.37,0,-0.76,0,-1.4000000000000001,0,11.68,0
800014918,6,35.83,-4.61,80.60000000000001,-18.45,32.96,-14.510000000000002,-13.99,56.13,332.02,-77.18,119.04999999999998,-0.72,0,-20,38.440000000000005,-21.48,0,0,1.9217049027347333,-17.68265628081246,1,1,1,1,12.171062230817538,Bajo,3.8699999999999997,0,-22.38,0,-11.899999999999999,0,3.15,0,1.96,4626.405,0,4065.12,0,21.85,0,1244.31,0,13.81,0,0,0,-4.2,0,-1.72,0,-1.16,0,7.06
800025221,5,0,-84.39999999999999,0,23.830000000000002,0,693.9499999999999,0,-5.609999999999999,0,2146.52,0,-55.559999999999995,0,0,0,-67.92,0,1,0,105.66037735849054,0,0,0,0,23.569405572118097,Medio,2.65,-23.21,0,8.7,0,2.29,0,8.12,0,45012.41,88319.51999999999,0,-7.9799999999999995,0,-20.74,0,-49.03,0,0,0,0,0,2.18,0,-30.070000000000004,0,-4.92,0
800025221,5,0,-84.39999999999999,0,23.830000000000002,0,693.9499999999999,0,-5.609999999999999,0,2146.52,0,-55.559999999999995,0,0,0,-67.92,0,1,0,105.66037735849054,0,0,0,0,23.569405572118097,Medio,2.65,-23.21,0,8.7,0,2.29,0,8.12,0,71442.785,0,45012.41,0,-0.52,0,211.49,0,58.720000000000006,0,-42.86,0,16.32,0,-7.8100000000000005,0,-22.36,0,-5.2
800025221,5,0,-84.39999999999999,0,23.830000000000002,0,693.9499999999999,0,-5.609999999999999,0,2146.52,0,-55.559999999999995,0,0,0,-67.92,0,1,0,105.66037735849054,0,0,0,0,23.569405572118097,Medio,11.21,0,33.54,0,-100,0,-4.03,0,-3.34,45012.41,88319.51999999999,0,-7.9799999999999995,0,-20.74,0,-49.03,0,0,0,0,0,2.18,0,-30.070000000000004,0,-4.92,0
800025221,5,0,-84.39999999999999,0,23.830000000000002,0,693.9499999999999,0,-5.609999999999999,0,2146.52,0,-55.559999999999995,0,0,0,-67.92,0,1,0,105.66037735849054,0,0,0,0,23.569405572118097,Medio,11.21,0,33.54,0,-100,0,-4.03,0,-3.34,71442.785,0,45012.41,0,-0.52,0,211.49,0,58.720000000000006,0,-42.86,0,16.32,0,-7.8100000000000005,0,-22.36,0,-5.2
800026173,5,117.02999999999999,-42.66,68.01,-2.68,-22.59,69.71000000000001,-25.180000000000003,172.73000000000002,-22.86,16.35,34.21,-5.88,0,0,32.35,-22.78,1,1,-39.01645165108298,34.66471734892789,1,1,1,1,5.257027175406433,Bajo,3.01,38.66,0,-22.68,0,-0.08,0,7.870000000000001,0,51991.15,95703.43,0,-4.04,0,-61.57,0,-45.67,0,200,0,0,0,-2.74,0,-4.53,0,6.510000000000001,0
800026173,5,117.02999999999999,-42.66,68.01,-2.68,-22.59,69.71000000000001,-25.180000000000003,172.73000000000002,-22.86,16.35,34.21,-5.88,0,0,32.35,-22.78,1,1,-39.01645165108298,34.66471734892789,1,1,1,1,5.257027175406433,Bajo,3.01,38.66,0,-22.68,0,-0.08,0,7.870000000000001,0,82481.015,0,51991.15,0,-44.5,0,1249.6000000000001,0,58.64,0,-83.33,0,1.22,0,-1.9900000000000002,0,-25.3,0,5
