nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3,IRCC,IRCCG
900000410,5,-69.48,74.76,-66.25999999999999,130.32,10.530000000000001,31.790000000000003,14.29,0,3.2199999999999998,232.64000000000001,-25.81,30.43,0,0,-20,7.41,0,0,162.0952380952381,-38.54072055706933,0,0,0,0,7.187622631641746,Bajo
900000427,6,0,121.42999999999999,0,151.68,0,13.66,0,-6.79,0,73.06,0,145.45,0,0,0,34.62,0,0,0,-39.2059553349876,0,1,0,1,9.817864749251987,Bajo
900000615,4,75.71,105.69,113.55999999999999,29.17,21.54,-37.2,-4.71,-54.52,162.1,-48.63,1700,83.33,300,0,17.02,67.27,0,0,-33.402525514616855,-18.677685950413203,1,1,1,1,10.553272179154431,Bajo
900004059,5,159.84,-29.34,139.76,0.31,-7.7299999999999995,41.959999999999994,-15.09,60,-1.1400000000000001,29.86,-50,0,-50,0,68.17999999999999,-26.13,1,1,-35.27387439059364,4.544723294723285,1,1,1,1,3.622304274975102,Bajo
900004894,5,55.36,15.67,25.759999999999998,49.34,-19.05,29.110000000000003,1.28,-7.84,-49.97,348.09000000000003,143.48000000000002,37.5,0,0,46.150000000000006,-0.53,0,0,-5.927095292766937,-14.003395585738554,1,1,1,1,13.576553091892158,Bajo
900005067,5,142.59,40.46,123.44999999999999,-11.43,-7.89,-36.94,-15.290000000000001,-32.29,-10.86,-31.419999999999998,300,-37.5,33.33,0,190.32,11.110000000000001,0,0,19.674956907165743,-20.8937198067633,1,1,1,1,11.780658245215903,Bajo
900005594,5,-17.51,15.75,86.50999999999999,-33.35,126.11000000000001,-42.42,34.300000000000004,-18.82,634.9,-78.13,208.32999999999998,29.73,0,0,36.64,6.7,0,0,65.65408344661716,-7.817923374433899,0,0,0,0,13.570112333632688,Bajo
900006037,5,35.870000000000005,-8.72,49.66,4.760000000000001,10.15,14.77,36.620000000000005,24.51,2.63,5.949999999999999,20,-9.520000000000001,0,0,10.040000000000001,-20.200000000000003,1,0,-19.011650750122268,-12.567062655681182,1,1,1,1,17.09073264337257,Medio
900014225,6,547.0600000000001,0,607.74,57.34,9.379999999999999,57.34,11.92,20.380000000000003,40.849999999999994,165.60999999999999,2650,9.09,100,0,194.55,-6.17,0,0,-54.4793388429752,-6.172839506172845,0,0,0,1,6.36990419602255,Bajo
900034131,6,91.99000000000001,35.38,16.02,72.02,-39.57,27.07,-24.01,-5.25,-87.2,360.15000000000003,45.45,6.25,0,0,40.29,18.970000000000002,0,0,-26.925471948267454,-12.11862765629258,1,1,0,1,5.978803996429222,Bajo
