nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion
800002468-7,5,296,1499902092,5067236.797297297,3401698.5,4528211.137279544,54,4,83,2.027027027027027,3.0292602592089724,28.040540540540544,12.37212297465785,Bajo,0
800003124-9,5,473,6012206300,12710795.5602537,6221544,49709695.41684962,33,4,154,0,0,32.55813953488372,12.6411696916808,Bajo,0.46212850580432385
800006850,5,7141,162904914821,22812619.355972555,5866666,153586392.9875782,101,4,1694,0.014003640946646129,0.0030250775462575138,23.72216776361854,5.055357812886682,Bajo,31.090256121075313
800014918,6,2978,623569307676,209391977.0570853,30761900,1728983100.6273499,178,5,781,0,0,26.225654801880456,12.171062230817538,Bajo,18.296879418390603
800025221,5,126,1973209013,15660388.992063493,5642800,70081038.0970316,11,3,58,96.82539682539682,49.33666137678442,46.03174603174603,23.569405572118097,Bajo,0
800026173,5,1011,10013529631,9904579.259149358,5880444,11554526.118799191,74,4,316,50.247279920870426,53.8775212618133,31.25618199802176,5.257027175406433,Bajo,9.424379526263783
800029509,4,191,1819270747,9524977.732984293,6000000,16048818.254945919,36,3,83,100,100,43.455497382198956,16.937589477207126,Bajo,0
800030924,5,3483,61277458850,17593298.550100487,8586000,48529070.650802284,110,4,1055,0,0,30.289979902383003,4.108884057292853,Bajo,0.47870609001845604
800037021,5,1699,247452177989,145645778.68687463,12544000,715609335.6577617,89,4,667,0,0,39.2583872866392,12.911423016417578,Bajo,11.64589345342471
800037202,4,512,5548463657,10836843.080078125,5561545,53599491.40144864,13,4,168,0,0,32.8125,12.660377508919819,Bajo,1.2071370012480263
800037244,5,271,8278231614,30546980.125461254,8800000,116343868.42806812,45,4,113,97.7859778597786,67.8328704104316,41.69741697416974,25.345047217328172,Bajo,2.966152250033885
800037979,5,3046,24372135625,8001357.723243598,2700000,41320152.20545966,92,4,470,19.89494418910046,25.00266981835327,15.430072225869992,5.83037175166012,Bajo,7.751412849098
