nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,num_HHI,val_HHI,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,pnum_ic4k,pval_ic4k,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3
800002468-7,5,30,7.6899999999999995,15.290000000000001,30.819999999999997,-11.32,21.48,-21.41,14.580000000000002,-12.049999999999999,25.669999999999998,137.5,5.26,0,0,19.509999999999998,-12.24,2.5543279766252742,3.044752810201876,0,0,-8.067542213883671,-18.51311953352769,20.945945945945947,22.943465165858306,0,0,0,0
800003124-9,5,54.400000000000006,-19.689999999999998,8.94,99.96000000000001,-29.439999999999998,148.99,-13.200000000000001,42.57,-71.97,799.49,271.43,-42.309999999999995,33.33,-25,28.57,-22.220000000000002,1.2197792865475643,4.720994589666604,0,0,-16.728349370836426,-3.1541218637992974,10.993657505285412,33.63024738522362,0,0,0,0
800006850,5,10.100000000000001,-14.469999999999999,8.57,-5.46,-1.39,10.54,-13.01,76.67,31.03,-40.47,23.810000000000002,-41.03,0,0,7.42,-3.51,0.1155491577509074,1.3391267623277747,0,0,-2.431926834337972,12.82051282051282,1.2743313261447977,17.49242400532325,1,1,1,1
800014918,6,35.83,-4.61,80.60000000000001,-18.45,32.96,-14.510000000000002,-13.99,56.13,332.02,-77.18,119.04999999999998,-0.72,0,-20,38.440000000000005,-21.48,0.4784132214705467,4.545325909804266,0,0,1.9217049027347333,-17.68265628081246,8.09267965077233,35.56783014122301,1,1,1,1
800025221,5,0,-84.39999999999999,0,23.830000000000002,0,693.9499999999999,0,-5.609999999999999,0,2146.52,0,-55.559999999999995,0,0,0,-67.92,2.8596623834719073,16.986241312319024,0,1,0,105.66037735849054,19.841269841269842,54.590448751411614,0,0,0,0
800026173,5,117.02999999999999,-42.66,68.01,-2.68,-22.59,69.71000000000001,-25.180000000000003,172.73000000000002,-22.86,16.35,34.21,-5.88,0,0,32.35,-22.78,0.6426832048260431,1.1249922763813427,1,1,-39.01645165108298,34.66471734892789,6.330365974282888,12.93006724613546,1,1,1,1
800029509,4,0,-29.459999999999997,0,60.28,0,127.23,0,7.76,0,456.48,0,0,0,0,0,-24.14,1.8502782270222855,9.882494617182275,0,1,0,7.551287647315563,15.18324607329843,40.83433899132552,0,0,0,0
800030924,5,-6.419999999999999,104.85,3.9,29.599999999999998,11.020000000000001,-36.730000000000004,7.84,-46.18,-13.309999999999999,9.75,65.62,94.34,-25,33.33,0.69,41.69,0.17077327891537333,0.7700369382816704,0,0,7.5910382371440654,-30.833202985855447,2.239448751076658,13.255277260897708,0,0,0,0
800037021,5,300.38,-63.629999999999995,1.44,-8.68,-74.66000000000001,151.07,-96.84,2543.19,-51.15,98.52,164,-3.0300000000000002,0,0,685.29,-59.550000000000004,0.27440578036244007,5.814660817801148,0,0,96.13708731355793,11.209552028632608,4.767510300176574,40.78911516733015,1,1,1,1
800037202,4,0,-15.83,0,60.49,0,90.67,0,69.69,0,168.35,0,-12.5,0,0,0,-14.16,1.021575927734375,5.6570466213111965,0,0,0,1.9816957870055107,9.1796875,34.783199986633704,0,1,0,1
800037244,5,0,15.120000000000001,-37.46,545.16,-37.46,460.44,-38.67,69.17,-40.239999999999995,918.74,255.56,-9.379999999999999,0,0,-29.849999999999998,-14.89,1.8858675671627563,17.982220309057855,1,1,-29.850746268656724,-26.069202664947344,16.605166051660518,64.90693494143156,0,1,0,1
800037979,5,89.97,-26.169999999999998,-44.34,85.99,-70.7,151.92000000000002,27,120.47000000000001,-93.05,281.61,227.78,13.56,33.33,0,103.23,20.24,0.5359924363954923,1.501012920280361,0,0,6.976855738098098,62.86025991464057,4.530531845042679,16.753949804921948,1,1,1,1
800044320,5,0,90.67,0,25.3,0,-34.28,0,-20.84,0,-49.76,0,255.56,0,300,0,95.74000000000001,1.3340627893274979,3.0810106229106724,0,0,0,2.6632941526558485,13.302752293577983,26.72092104635132,0,1,0,1
800044967,5,1486.49,634.07,107.74,299.78,-86.91,-45.540000000000006,-93.81,-17.79,-64.56,-43.120000000000005,575,214.81,-25,66.67,790.91,125.51,0.24935391082179703,1.0734816109947083,0,0,-43.84389035155646,-69.27953358182447,1.905534157713359,15.93228030441584,0,1,0,1
800058016,5,30.18,-12.590000000000002,48.82,9.32,14.32,25.06,-15.76,25.91,32.18,72.39999999999999,70,0,33.33,0,-1.39,-3.51,0.03644127857515971,0.7688532024053447,0,0,-24.251427429484995,10.384053013535087,0.9227045832703071,12.452404134689345,1,1,1,1
800064543,6,0,-28.860000000000003,0,-12.030000000000001,0,23.65,0,74.68,0,-10.08,0,3.2300000000000004,0,0,0,-15.340000000000002,0.7737990146741802,2.321313418693963,0,0,0,18.997854823747673,7.104984093319194,22.592274980436205,0,0,0,1
800065395,5,0,31.31,0,39.71,0,6.4,0,3.2199999999999998,0,42.76,0,26.19,0,0,0,32.05,1.8067544128150188,2.6544811525932412,0,1,0,0.5657450497308147,17.575757575757574,20.61747082659902,0,0,0,0
800068653,5,83.17,-0.54,-3.38,-47.260000000000005,-47.25,-46.97,-61.309999999999995,-11.07,-27.22,-81.08,300,-18.18,0,-25,47.83,-29.409999999999997,6.351290176550476,4.440320361744417,1,0,-19.294947121034077,-29.02813299232737,33.61702127659574,37.092972238853775,0,1,0,1
800080586,4,39.43,21.04,32.87,31.28,-4.7,8.459999999999999,47.42,-13.850000000000001,-14.180000000000001,-2.97,8.82,-24.32,0,0,38.78,-15.2,0.6557431875568848,0.7850965771558864,1,1,-0.47095761381475976,-29.937694704049832,8.268933539412673,9.77974102524428,0,0,0,0
800084206,5,321.5,-24.79,79.74,20.93,-57.36,60.79,-19.05,74.86,-55.510000000000005,45.65,94.12,10.61,25,-20,196.32,-12.7,0.09869044482348971,2.427088781047198,0,0,-29.69969407504528,16.078942797429296,1.3714967203339294,25.69382278801201,1,1,1,1
800084362,5,93.10000000000001,18.25,-24.86,56.720000000000006,-61.09,32.54,-42.51,22.52,-86.13,38.46,161.54,117.65,0,0,30.64,22.45,0.1232796240626615,1.3770093242559782,1,0,-32.34584608143092,3.5528371610091147,1.5094882116158712,18.52246375747975,1,1,1,1
800099860,6,2.0500000000000003,-19.74,83.87,19.09,80.17,48.39,56.56,110.00000000000001,86.3,19.72,163.32999999999998,-16.46,-40,33.33,12.809999999999999,-21.12,0.31149269534460433,1.770320482720104,0,0,10.541179196107976,-1.7110747760403777,5.2797332345313075,20.03486926690521,1,1,1,1
800101022,4,29100,145.21,49578.92,133.87,70.13000000000001,-4.62,-20.830000000000002,5.26,0,-23.49,3100,46.88,300,0,14500,68.49,0.5941570464432594,1.0269883893138312,1,1,-50,-31.28491620111731,5.550049554013875,13.474580906181266,0,0,0,0
800114286,5,7500,11.84,5355.99,27.74,-28.21,14.21,-47.760000000000005,-18.65,0,106.79,1500,-6.25,200,33.33,4900,6,2.049992379210486,5.650997885992041,1,1,-34.210526315789465,-5.223529411764716,17.28395061728395,32.73146547175535,0,0,0,0
800116719,5,399.05,-41.410000000000004,404.18,1.8399999999999999,1.03,73.82,-39.21,81.56,94.25,115.38,3600,-1.35,150,0,99.28,-18.77,0.48156822996566584,2.008582796042691,0,0,-60.067823603712455,38.642270017286194,5.128205128205128,22.84222452383921,1,1,1,1
800119945,5,133.19,23.36,111.35,278.45,-9.370000000000001,206.79,-21.740000000000002,32.86,-24.59,2904.12,500,0,100,0,81.2,6.13,0.49284040210815994,12.63907736256849,1,0,-22.29708653066317,-13.963938818800958,4.866346812885538,52.87071282184127,0,0,0,0
800125276,6,-21.05,-65.56,501.89000000000004,-80.71000000000001,662.39,-44,-10.97,-35.82,6730.1500000000005,-76.71,107.13999999999999,-48.28,0,0,22.81,-68.57,1.8198279764599365,47.240679023493165,0,0,55.55555555555558,-8.755760368663601,17.02127659574468,80.51495968933912,0,0,1,0
800125697,5,24.93,-6.16,-64.4,73.96000000000001,-71.5,85.37,68.17999999999999,45.01,-97.34,229.07999999999998,171.43,94.74000000000001,50,33.33,37.1,-8.24,0.7189471786551289,8.965981587485098,1,1,9.735634545579043,-2.214532871972308,6.434108527131782,45.816353870826845,0,0,0,0
800133887,5,0,770.37,0,952.8499999999999,0,20.97,0,22.1,0,186.95,0,176.92000000000002,0,33.33,0,246.15,1.5441990559990675,5.25636424200038,0,1,0,-60.2291325695581,12.977099236641221,34.49854414940458,0,0,0,0
800134339,7,240,-39.78,297.34,-51.739999999999995,16.86,-19.86,-28.4,64.69,282.12,-79.21000000000001,44.83,-61.9,0,0,124.56,-32.029999999999994,1.1352107329014747,7.1932899548195675,1,1,-33.952528379772964,12.859738372093021,11.964549483013293,41.310381075233714,0,0,0,0
800138011,5,20200,-24.14,75033.52,16.31,270.12,53.31,47.910000000000004,-9.17,0,127.56,3400,-25.71,300,0,15400,-27.74,0.9909178864579756,17.687265246530675,1,1,-23.645320197044338,-4.750733137829899,11.452513966480446,53.87254064236582,0,0,0,0
