orden_entidad,num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_contratistas_dif_1,num_contratistas_dif_2,num_contratistas_dif_3,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pnum_ganadoras_1,pnum_ganadoras_2,pnum_ganadoras_3,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3,IRCC,IRCCG
5,1334,2576,3046,71136615094,53453262922,83772621678,53325798.421289355,20750490.264751554,27502502.192383453,12591105,7238148,8868000,480884496.06918657,66712561.04234067,92366913.91902526,13,34,74,4,4,4,607,793,971,1,1,0,45.502248875562216,30.784161490683232,31.877872619829283,1,1,1,1,1,1,5.383060229353565,Bajo
5,4,0,140,457511040,0,1233448394,114377760,0,8810345.67142857,108814530,0,3838342.5,81386042.5984161,0,24607788.27345362,1,0,18,2,0,4,3,0,77,1,0,1,75,0,55.00000000000001,0,0,0,0,0,1,19.451700923278974,Medio
6,1901,1940,1557,21124121447,38840742240,46257321886,11112110.177275117,20021001.154639177,29709262.611432243,2555000,4000000,8400000,46261145.96779304,86185592.3410073,103184595.2803809,30,79,66,5,3,4,445,502,396,0,0,0,23.40873224618622,25.87628865979382,25.43352601156069,1,1,1,1,1,1,6.849103919875307,Bajo
4,1,292,716,3600000,1788441255,4182715382,3600000,6124798.818493151,5841781.259776536,3600000,2850000,3000000,0,16899734.491697963,12929741.87029486,1,32,47,1,4,4,1,146,246,1,1,1,100,50,34.357541899441344,0,0,1,0,0,1,5.161443973988058,Bajo
5,1,76,85,20000000,1091198520,1393852776,20000000,14357875.263157895,16398267.952941176,20000000,10448880,8500000,0,14861288.986435499,30731189.063935407,1,16,15,1,3,4,1,50,53,1,1,1,100,65.78947368421053,62.35294117647059,0,0,0,0,0,0,14.429101588560457,Bajo
5,210,1048,614,1882276868,9490062810,9664315167,8963223.180952381,9055403.44465649,15739926.98208469,7086008,4307764.5,7821158,8215094.695067566,15958078.772890778,34370172.516513184,2,74,73,2,5,5,139,277,225,1,0,0,66.19047619047619,26.431297709923662,36.644951140065146,1,1,1,1,1,1,7.615145169513173,Bajo
5,235,548,676,1944271216,4109231049,15551555729,8273494.536170213,7498596.804744526,23005259.95414201,4600000,3600000,4783000,12844762.05131643,9686598.899407312,290997334.1199446,9,54,54,2,4,4,117,212,225,1,1,0,49.787234042553195,38.68613138686132,33.28402366863905,0,0,0,0,0,1,17.717244349850866,Medio
6,114,90,31,1509530685,9085702180,1752381000,13241497.236842105,100952246.44444445,56528419.35483871,8750000,7790000,5000000,11837578.9511921,808524905.059971,188300090.21803012,14,29,15,4,4,4,57,70,22,1,0,0,50,77.77777777777779,70.96774193548387,0,0,0,1,1,0,36.64918582125922,Alto
5,377,471,442,4746588846,1689897404,2939666211,12590421.342175066,3587892.577494692,6650828.531674208,1603320,2696400,3910149,138249897.108342,3673597.642604389,12088961.351312662,7,19,37,2,3,4,124,170,156,1,1,1,32.891246684350136,36.09341825902335,35.294117647058826,0,1,0,0,1,0,15.483847791024713,Medio
5,0,27,235,0,152398018,1604526084,0,5644371.037037037,6827770.570212766,0,2784600,3400000,0,7716297.341927421,22141821.912955914,0,13,36,0,3,4,0,26,90,0,1,1,0,96.29629629629629,38.297872340425535,0,0,1,0,0,1,13.569051671011312,Bajo
7,105,357,215,662401254,2631991757,1270309405,6308583.371428572,7372525.929971989,5908415.837209302,3180000,2277000,3750000,14784418.521448163,56494845.635950185,11745702.272692425,29,42,16,4,4,4,57,128,87,1,1,1,54.285714285714285,35.85434173669468,40.46511627906977,0,0,1,0,0,1,15.400857811492012,Medio
5,1,203,154,6743333,5066503176,5892603374,6743333,24958143.724137932,38263658.27272727,6743333,9974244,9059459,0,59056574.3569733,134388530.14740148,1,35,26,1,4,4,1,155,112,1,1,1,100,76.35467980295566,72.72727272727273,0,0,1,0,0,1,21.00080943545873,Medio
5,0,130,156,0,6352225660,9002805285,0,48863274.307692304,57710290.288461536,0,14818400,25000000,0,137719701.70580614,86267148.90798089,0,30,23,0,4,4,0,69,76,0,1,0,0,53.07692307692308,48.717948717948715,0,1,0,0,1,0,25.8672028529119,Medio
5,295,568,714,2240471999,4198558471,5250058650,7594820.335593221,7391828.294014084,7353023.319327731,1904836,2066542,1728485.5,20676916.651860707,24578168.77414607,35698679.496331856,38,51,41,4,4,4,58,106,100,0,0,0,19.661016949152543,18.661971830985916,14.005602240896359,1,1,1,1,1,1,17.011951632337265,Medio
6,0,248,1341,0,2664679950,48460221322,0,10744677.217741935,36137376.07904549,0,4600000,3750000,0,40137061.529247776,313371005.3556897,0,39,74,0,4,5,0,139,338,0,0,0,0,56.048387096774185,25.205070842654738,0,0,0,0,0,0,11.755468996708007,Bajo
5,59,138,103,648364084,1351288957,901192547,10989221.762711864,9791948.963768115,8749442.203883495,9000000,9412500,6240000,12271372.301334377,6425261.062660579,7993161.514916067,8,26,21,2,4,4,49,75,49,1,1,0,83.05084745762711,54.347826086956516,47.57281553398058,1,1,1,1,1,1,8.529500140749576,Bajo
3,138,291,218,1145601020,5957805697,3581853581,8301456.666666667,20473559.09621993,16430521.013761468,6901418,8400000,8920000,7899055.220386076,65749048.858471245,21148514.516272675,17,35,32,2,4,4,81,151,111,1,1,1,58.69565217391305,51.890034364261176,50.917431192660544,0,1,1,0,1,1,8.411545086498458,Bajo
5,5,135,413,72013332,4457936336,7908789695,14402666.4,33021750.63703704,19149611.85230024,15000000,9600000,3600000,5675298.223940906,61364578.50718664,216840109.62945837,1,47,44,2,4,4,5,76,151,0,1,0,100,56.2962962962963,36.56174334140436,0,0,0,0,0,1,20.517886090700717,Medio
5,206,408,251,3532184405,6149303319,6227546187,17146526.237864077,15071821.860294119,24810940.984063745,8400000,7999999,9048000,25071958.797412354,24942836.29750796,42290236.902251676,17,69,46,5,4,4,104,185,133,0,0,0,50.48543689320388,45.34313725490196,52.98804780876494,1,1,0,1,1,0,7.135774165956813,Bajo
5,0,135,2705,0,2417587660,11162826464,0,17908056.740740743,4126738.0643253233,0,4774000,1792000,0,30701980.84657454,11608920.011669774,0,39,51,0,5,4,0,55,301,0,0,0,0,40.74074074074074,11.127541589648798,0,1,1,0,1,1,8.11554182559662,Bajo
4,0,439,250,0,4022687301,10499398141,0,9163296.813211845,41997592.564,0,4000000,7204515,0,16461080.062453305,351851785.429324,0,81,48,0,4,4,0,138,103,0,1,1,0,31.435079726651484,41.199999999999996,0,0,0,0,0,0,25.87424843390292,Medio
6,36,43,42,309636718,345514808,711694621,8601019.944444444,8035228.0930232555,16945110.023809522,5800000,4756000,10772500,7103532.556115053,8095766.49807636,20961272.274970274,3,7,6,1,1,1,26,22,28,1,1,1,72.22222222222221,51.162790697674424,66.66666666666666,1,1,1,0,1,1,17.41795528765566,Medio
5,115,211,173,4415409745,1197571808,871384991,38394867.347826086,5675695.772511848,5036907.462427746,7250928,2720000,3708000,155113752.03154778,17916787.67678609,4404616.7849032525,11,13,8,2,1,2,40,71,64,0,0,0,34.78260869565217,33.649289099526065,36.99421965317919,1,1,1,1,1,1,23.760501049202272,Medio
5,49,82,93,718086924,672472215,1052619465,14654835.18367347,8200880.6707317075,11318488.870967742,9440536,4500000,6000000,22179871.48094589,12959726.167795643,21499453.015031822,11,10,3,3,3,2,47,59,57,1,1,1,95.91836734693877,71.95121951219512,61.29032258064516,0,1,0,0,1,0,9.60827080134679,Bajo
5,111,15,1,3727160893,595399719,512000203,33578026.06306306,39693314.6,512000203,8400000,5600000,512000203,101981447.39499973,104963484.0064542,0,36,9,1,3,2,1,72,15,1,0,0,0,64.86486486486487,100,100,0,0,0,0,0,0,22.032247664028997,Medio
6,191,1211,883,5289853947,12814021630,11263092378,27695570.40314136,10581355.598678777,12755484.006795017,13500000,2450000,7020000,61444477.18285741,42601528.51320096,19138152.076181874,23,70,36,4,4,4,105,288,313,1,1,1,54.973821989528794,23.781998348472335,35.44733861834655,1,1,1,1,1,1,6.351864979883385,Bajo
5,683,1904,1643,22941123387,20840754057,20788434250,33588760.44948755,10945774.18960084,12652729.306147292,15073000,2235622.5,2474626,102341097.62605827,56061154.87874265,55128401.58426839,20,98,96,3,4,4,374,288,249,1,1,1,54.758418740849194,15.126050420168067,15.155203895313452,1,1,1,1,1,1,15.407124992511259,Medio
4,0,84,135,0,1201083071,2608424891,0,14298607.988095239,19321665.85925926,0,5640000,8000000,0,23043718.58674283,37271149.46534437,0,16,13,0,3,2,0,41,63,0,1,1,0,48.80952380952381,46.666666666666664,0,0,0,0,0,0,23.36619295680765,Medio
5,247,871,697,11782222444,20718536736,22908460298,47701305.44129555,23787068.58323766,32867231.417503588,13200000,7000000,6000000,284701548.3267173,63150458.1384868,97952267.9387695,24,57,54,1,4,4,210,328,289,1,1,0,85.02024291497976,37.65786452353617,41.46341463414634,0,1,1,1,1,1,10.583506334877532,Bajo
5,52,129,132,430785675,954661799,1486361958,8284339.903846154,7400479.062015504,11260317.863636363,5450000,3200000,3686013,11781203.972048538,17907450.343859706,27291438.46481539,10,23,22,2,3,3,41,70,81,1,0,0,78.84615384615384,54.263565891472865,61.36363636363637,1,0,1,1,0,1,13.317804320118311,Bajo
5,78,125,136,1096176431,716457652,1226004660,14053543.987179488,5731661.216,9014740.147058824,6600000,4000000,5500000,22811609.977403894,7078785.218812549,16925219.789554983,16,23,32,3,3,4,59,61,65,0,0,0,75.64102564102564,48.8,47.794117647058826,1,1,1,1,1,1,8.62828476929607,Bajo
5,42,534,245,589267700,4389178678,8674757705,14030183.333333334,8219435.72659176,35407174.30612245,2823000,4110800,6721000,53611466.84788081,17436709.05551465,199786994.48491138,1,19,14,1,3,2,42,332,187,1,1,1,100,62.172284644194754,76.32653061224491,0,0,1,0,0,1,15.346811412097258,Medio
6,196,194,172,3457353105,1802356990,2070162481,17639556.658163264,9290499.948453609,12035828.377906976,8131250,6025000,8937500,68252745.28913975,12349306.917335844,16047064.701883892,7,23,28,4,4,4,72,68,68,1,0,0,36.734693877551024,35.051546391752574,39.53488372093023,1,0,0,1,0,1,13.539328250237903,Bajo
5,69,147,170,1217235848,2524630677,3020524990,17641099.246376812,17174358.346938774,17767794.05882353,10126311,12240000,13740000,33910976.13902052,31723103.423852567,31910494.74334181,1,5,1,4,4,1,57,86,89,1,0,0,82.6086956521739,58.50340136054422,52.352941176470594,1,1,1,1,1,1,9.864901034842559,Bajo
5,5263,2117,0,25463005871,51116475069,0,4838116.258977769,24145713.30609353,0,2680000,11440000,0,35479989.01200497,71529381.69533883,0,3,39,0,2,4,0,1432,1595,0,0,0,0,27.208816264487933,75.34246575342466,0,1,1,0,1,1,0,2.460821184880156,Bajo
5,899,203,0,61140959098,12254457276,0,68009965.62625138,60366784.61083744,0,10909344,8936640,0,271331790.2301543,502656706.8887324,0,64,30,0,4,3,0,217,83,0,0,0,0,24.137931034482758,40.88669950738916,0,1,1,0,1,1,0,15.508654878273468,Medio
4,0,204,255,0,9722627133,15797327042,0,47659936.926470585,61950302.125490196,0,6850000,9000000,0,134001335.65354349,183730090.5726412,0,14,18,0,3,3,0,112,136,0,1,0,0,54.90196078431373,53.333333333333336,0,0,0,0,0,0,23.092744631738743,Medio
5,19,83,63,181671242,368597785,601518003,9561644.315789474,4440937.168674699,9547904.80952381,9100000,1646589,3000000,7891201.343682194,10696836.713454966,20984987.234875944,5,19,8,2,3,2,16,55,34,1,1,1,84.21052631578947,66.26506024096386,53.96825396825397,1,0,0,1,0,0,15.666498962537693,Medio
5,880,1721,1160,12782871696,31085261419,41040548362,14525990.563636364,18062325.05461941,35379783.070689656,3591952,2582784,7700040,68215237.50541,88315613.3372357,169383740.64118627,15,66,65,4,4,4,327,559,445,0,0,0,37.15909090909091,32.48111563044741,38.362068965517246,1,1,1,1,1,1,9.121322033077663,Bajo
1,16,330,0,287590186,23905841975,0,17974386.625,72441945.37878788,0,8205000,4353350,0,38276551.26197507,190704657.79005355,0,2,52,0,2,4,0,15,299,0,1,1,0,93.75,90.6060606060606,0,0,0,0,0,0,0,8.047214289286448,Bajo
1,2250,0,0,8998938632,0,0,3999528.280888889,0,0,1914144,0,0,13514401.550316533,0,0,1,0,0,4,0,0,461,0,0,1,0,0,20.48888888888889,0,0,0,0,0,0,0,0,4.468631703631183,Bajo
5,7,73,5,31135000,977097004,48000000,4447857.142857143,13384890.465753425,9600000,3000000,7062000,8000000,3917613.917874477,21759548.975465465,8322259.3086252725,2,18,3,1,3,2,7,50,4,0,1,1,100,68.4931506849315,80,0,0,0,0,0,0,14.735253411080128,Bajo
5,98,330,495,672108000,1532288032,2286415805,6858244.897959184,4643297.066666666,4619021.828282828,4275000,2000000,2286000,7269769.237338209,11308862.153317394,8059910.110218754,1,14,29,2,4,4,55,97,130,1,0,0,56.12244897959183,29.393939393939394,26.262626262626267,0,0,1,0,0,1,6.851126534688737,Bajo
5,269,16,0,54252344812,286920924,0,201681579.2267658,17932557.75,0,16205200,7600000,0,2150947527.4955053,36273077.11287907,0,35,11,0,4,2,0,160,13,0,0,0,0,59.479553903345725,81.25,0,1,0,0,1,0,0,34.22681723544567,Alto
5,8880,534,0,59935173138,4207688509,0,6749456.434459459,7879566.496254682,0,3198333,4150418,0,36011944.78652805,19343916.565792847,0,60,20,0,5,4,0,1750,475,0,0,0,0,19.707207207207208,88.95131086142321,0,1,1,0,1,1,0,2.505239098386372,Bajo
5,567,26,0,8052265063,348658294,0,14201525.68430335,13409934.384615384,0,7939200,3909360,0,26026381.83994008,26373269.870334588,0,33,13,0,4,3,0,426,24,0,1,0,0,75.13227513227513,92.3076923076923,0,0,0,0,0,0,0,7.035922392066613,Bajo
5,6776,2467,0,88250691041,28635921860,0,13024009.8938902,11607588.917713823,0,3000000,5033000,0,116299622.32949445,38647946.82229344,0,53,52,0,4,4,0,2923,1869,0,1,1,0,43.13754427390791,75.76003242805027,0,1,0,0,1,0,0,4.44821007005066,Bajo
5,1580,124,0,33356628176,5888066786,0,21111789.984810125,47484409.56451613,0,3041421.5,20830700,0,90694778.43087736,70230214.34228152,0,52,42,0,5,4,0,1200,79,0,0,0,0,75.9493670886076,63.70967741935484,0,0,0,0,0,0,0,8.200723087103055,Bajo
5,0,190,72,0,5802223401,7661669477,0,30538017.9,106412076.06944445,0,11633922,33932820,0,70964918.10325651,297976607.7996553,0,35,22,0,4,3,0,86,35,0,1,1,0,45.26315789473684,48.61111111111111,0,1,1,0,1,1,28.462237686779417,Medio
5,195,347,970,23946883512,19122361471,40123189307,122804530.83076923,55107669.94524496,41364112.687628865,28350000,22000000,20485994.5,256011062.94974613,110543353.70179841,67802776.55876838,1,94,112,4,4,4,116,183,327,0,0,0,59.48717948717949,52.73775216138329,33.71134020618557,1,0,1,1,0,1,6.748162178327286,Bajo
3,106,120,123,11225168031,13513738253,14720525625,105897811.61320755,112614485.44166666,119679070.12195122,60000000,62600000,75000000,184229896.3978415,190682816.32817078,101621686.65057103,13,31,30,4,3,3,73,73,77,0,0,0,68.86792452830188,60.83333333333333,62.601626016260155,1,1,1,1,1,1,8.489008082406338,Bajo
5,305,5,0,23376947604,296351047,0,76645729.84918033,59270209.4,0,20000000,42530007,0,135089265.9793784,54677722.224189274,0,50,5,0,4,2,0,171,5,0,0,0,0,56.0655737704918,100,0,1,0,0,1,0,0,11.253973118084565,Bajo
6,0,0,841,0,0,23379136679,0,0,27799211.271105826,0,0,2500000,0,0,418217102.04543036,0,0,30,0,0,4,0,0,129,0,0,1,0,0,15.338882282996433,0,0,1,0,0,1,29.800733683256986,Medio
5,7,226,207,599347170,2868000744,3169909259,85621024.28571428,12690268.778761063,15313571.299516909,45000000,8000000,9360000,106411680.50197119,13675978.391054954,20657087.343945425,1,44,42,4,4,4,5,78,71,0,0,0,71.42857142857143,34.51327433628318,34.29951690821256,0,0,0,0,0,0,19.487113353839202,Medio
5,85,107,138,572028311,708032006,1202575574,6729744.835294117,6617121.551401869,8714315.753623188,3800000,4700000,5812500,9266901.181053903,6535483.787011085,16597736.197641158,8,24,30,4,4,4,44,61,83,1,1,0,51.76470588235295,57.009345794392516,60.14492753623188,0,0,1,1,0,1,10.862188232436433,Bajo
5,812,7,3,10677887433,2263310863,492452266,13150107.676108375,323330123.28571427,164150755.33333334,3300000,176943582,180000000,89244166.09478408,416763285.5112965,77456807.06176959,1,4,3,3,2,2,225,4,3,0,0,0,27.70935960591133,57.14285714285714,100,0,0,1,0,0,1,17.950522883610944,Medio
6,9,163,126,10393533,531509076,865463837,1154837,3260791.8773006136,6868760.611111111,964000,2400000,4050000,725007.1838409603,3193784.3745758454,19944684.965236686,1,1,3,1,1,3,9,43,38,1,0,0,100,26.380368098159508,30.158730158730158,0,1,1,0,1,1,16.11312470507603,Medio
5,0,426,397,0,1129720940,1160448500,0,2651927.089201878,2923044.080604534,0,1600000,2000000,0,4443547.372304704,2698579.7557563973,0,11,3,0,3,1,0,117,107,0,0,1,0,27.464788732394368,26.952141057934508,0,0,0,0,0,0,8.11814444737594,Bajo
5,0,20,1972,0,397428131,4895719353,0,19871406.55,2482616.304766734,0,11690000,1400000,0,31066782.080086295,17413919.19223228,0,4,40,0,2,4,0,12,280,0,0,1,0,60,14.198782961460447,0,0,0,0,0,0,8.183967643960456,Bajo
5,247,459,1524,27668728166,40362079843,44713564165,112019142.37246963,87934814.47276689,29339609.03215223,30000000,20000000,2800000,239709745.99890614,149132413.08278513,88655005.3274691,22,42,34,4,4,4,96,160,286,1,1,0,38.8663967611336,34.85838779956427,18.766404199475065,1,1,1,1,1,1,11.633622326822707,Bajo
5,0,14,0,0,37444210,0,0,2674586.4285714286,0,0,1663660,0,0,2206378.932151073,0,0,1,0,0,1,0,0,13,0,0,1,0,0,92.85714285714286,0,0,0,0,0,0,0,29.20610950485347,Medio
5,0,0,367,0,0,2020099916,0,0,5504359.44414169,0,0,3600000,0,0,6328359.637047022,0,0,3,0,0,2,0,0,161,0,0,0,0,0,43.869209809264305,0,0,0,0,0,0,6.864370566981936,Bajo
5,0,637,1439,0,3384731143,13569504791,0,5313549.675039247,9429815.699096594,0,1811616,2600000,0,45594481.89755199,108172943.71183537,0,4,12,0,1,3,0,208,279,0,1,0,0,32.6530612244898,19.38846421125782,0,0,0,0,0,0,13.865274024765165,Bajo
5,0,28,285,0,289298670,2208408905,0,10332095.357142856,7748803.175438597,0,1574152.5,2871470,0,24060359.303034306,32174444.880325805,0,8,36,0,2,4,0,24,160,0,1,0,0,85.71428571428571,56.14035087719298,0,0,0,0,1,0,20.738499329422297,Medio
5,233,430,461,898036231,1649405353,1815949326,3854232.7510729614,3835826.4023255813,3939152.550976139,2000000,2550000,2550000,9180421.126327088,6499597.46638306,6237556.8844634015,3,1,6,2,1,2,79,137,113,0,0,0,33.90557939914164,31.86046511627907,24.5119305856833,0,0,0,0,0,0,9.77163862084394,Bajo
6,239,6306,3281,9428907978,35293545086,34166012185,39451497.81589958,5596819.709165874,10413292.34532155,15180000,2400000,3600000,54989810.60072076,52161049.95627452,34649700.66181584,21,61,65,4,4,5,89,750,814,1,1,1,37.238493723849366,11.893434823977165,24.80950929594636,0,1,1,0,1,1,3.411046708933406,Bajo
5,48,80,91,886026770,1507350847,2189081522,18458891.041666668,18841885.5875,24055840.9010989,8008500,6750000,8000000,27133053.075481497,26946042.971521683,77973415.28019358,17,25,26,4,4,4,37,60,50,0,0,0,77.08333333333334,75,54.94505494505495,1,1,1,1,1,1,18.72061628692694,Medio
5,234,289,232,1575459910,2300067075,1581701650,6732734.658119658,7958709.602076124,6817679.525862069,4550000,3300000,4687452,7804405.489665928,31519155.68419736,8021835.594187548,11,35,25,4,4,4,87,104,89,1,0,0,37.17948717948718,35.98615916955018,38.362068965517246,0,0,1,1,1,1,9.222554762251626,Bajo
