id_contratista_std,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_entidades_dif_r_2,num_entidades_dif_r_3,num_HHI,val_HHI,r_cont_cerrada_2,r_cont_cerrada_3,pentidades_r_2,pentidades_r_3,pnum_ic1k,pval_ic1k,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3
9005309969,0,150,0,2288.36,0,855.3499999999999,0,436.96999999999997,0,417937.48,0,300,0,100,0,100,42.857142857142854,50.76929855795157,0,0,0,-19.999999999999996,57.14285714285714,63.06671236850634,0,0,0,0
9005327155,200,0,108.69,0,-30.44,0,-34.72,0,0,0,100,0,0,0,100,0,37.5,33.847968399001374,0,0,-33.33333333333335,0,50,38.80967981913005,0,0,0,0
9005329033,41.67,-5.88,27.93,467.46,-9.700000000000001,502.93,-7.04,25.36,-6.370000000000001,1171.78,150,0,100,-25,200,-33.33,83.50617283950618,50.84037973346833,0,0,111.76470588235298,-29.166666666666675,91.11111111111111,59.12680013779615,0,0,0,0
9005330217,-80,0,-71.56,0,42.199999999999996,0,27.63,0,0,0,-66.67,0,0,0,-66.67,0,33.33333333333333,33.924885646009706,0,0,66.66666666666667,0,50,47.6403358731146,0,0,0,0
9005332641,-58.330000000000005,0,-56.13,0,5.3,0,11.77,0,-43.4,0,0,0,0,0,-37.5,0,12.110726643598616,15.029155554660253,1,0,50.00000000000002,0,17.647058823529413,24.971540072692754,0,0,0,0
9005335382,-75,0,-74.11,0,3.56,0,122.94,0,-39.4,0,0,0,0,0,-50,0,58,76.15558035038022,0,0,100,0,70,86.16322742122183,1,0,1,0
9005335486,25,0,-23.94,0,-39.15,0,-51.01,0,-56.15,0,-50,0,0,0,0,0,50.617283950617285,76.09214968174096,0,0,-19.999999999999996,0,55.55555555555556,86.11935054907616,1,0,1,0
9005345957,50,0,-78.49000000000001,0,-85.66,0,-84.32,0,-87.09,0,100,0,-50,0,0,0,52,70.86024093778606,0,0,-33.33333333333335,0,60,82.2956970336499,0,0,0,0
9005367271,-66.67,0,-90.47,0,-71.39999999999999,0,-78.08,0,0,0,-66.67,0,0,0,-66.67,0,25,35.44008653227687,0,0,0,0,25,42.54181647647335,0,0,0,0
9005375452,146,-66.67,171.33,-21.42,10.299999999999999,135.73,-15.67,261.27,62.78,84.94,250,-35.709999999999994,200,-33.33,200,-33.33,56.06603196785744,55.130869770766694,0,0,21.95121951219512,100,68.22429906542055,66.40530732325335,0,0,0,0
9005387351,0,-80,-53.36,-95.14,-53.36,-75.69,-74.36,0,-35.82,0,-33.33,-50,0,-50,100,-50,53.71900826446281,90.54569816279731,0,0,100,150,63.63636363636363,95.0253807106599,0,0,0,0
9005396625,51.160000000000004,9.229999999999999,11.52,12.46,-26.22,2.96,2.98,-25.480000000000004,-3.8899999999999997,-8.66,71.43,-8.33,-33.33,0,13.33,-5.88,25.163072313598203,20.585005390476155,1,1,-25.02564102564101,-13.835956917978464,47.76536312849162,36.541784902856165,1,1,1,1
9005420777,-95.65,0,-41.620000000000005,-59.31999999999999,1242.74,-59.31999999999999,2343.3199999999997,-59.31999999999999,0,0,-66.67,0,0,0,-66.67,0,51.68,53.53217640825236,0,0,666.6666666666667,0,68,66.82042485011166,0,0,0,0
9005429795,-75,0,-86.76,0,-47.06,0,-50,0,0,0,-50,0,0,0,-50,0,68,87.8562995446112,0,0,100,0,80,93.5064935064935,0,0,0,0
9005461085,-50,0,-69.6,0,-39.21,0,-39.21,0,0,0,0,0,-50,0,-50,0,55.55555555555555,84.11226234027384,0,0,0,0,66.66666666666666,91.29906920275192,0,0,0,0
9005502666,-57.69,-81.82000000000001,-60.27,-81.34,-6.1,2.64,-16.509999999999998,27.05,-25.4,135.81,-16.669999999999998,-60,-33.33,-50,-38.89,-81.82000000000001,4.930966469428007,5.830145467037518,1,0,44.444444444444464,0,7.6923076923076925,10.909094845778103,0,0,1,0
9005505891,-80,0,-66.3,0,68.49,0,102.91,0,0,0,-50,0,0,0,-80,0,22.222222222222218,30.38106306972315,0,0,0,0,33.33333333333333,48.782691178463345,0,0,0,0
9005516362,200,0,-88.83,0,-96.28,0,-98.77,0,0,0,100,0,100,0,0,0,62.5,81.91763292174568,0,0,-66.66666666666667,0,75,89.94848740675026,0,0,0,0
9005521936,0,-50,0,-77.16,0,-54.32,0,-35.83,0,-63.129999999999995,0,-40,0,100,0,-66.67,28.395061728395056,36.57790087939919,0,0,0,-33.33333333333335,33.33333333333333,50.13883587670064,0,0,0,0
9005561468,50,0,336.05,0,190.7,0,214.5,0,-24.779999999999998,0,-50,0,0,0,-50,0,68,75.33099746159502,0,0,-66.66666666666667,0,80,85.58861999403392,0,0,0,0
9005572263,244.44,-58.06,-1.08,-61.6,-71.28,-8.43,-68.42,-58.41,-79.41,98.72,133.32999999999998,-50,-25,0,-40,-33.33,69.38412246351015,31.434039003481143,0,0,-82.58064516129032,58.974358974358964,83.01886792452831,49.718821665407006,0,0,0,0
9005574370,33.33,0,-50.51,0,-62.88,0,-98.11999999999999,0,-10.03,0,100,0,0,0,0,0,42.857142857142854,94.88618210658682,0,0,-24.99999999999999,0,57.14285714285714,97.38365221109413,0,0,0,0
9005579783,-14.29,0,-35.38,0,-24.610000000000003,0,-57.46,0,44.72,0,100,0,200,0,0,0,57.39644970414201,50.62425243945865,1,0,16.66666666666665,0,69.23076923076923,55.58682575108019,0,0,1,0
9005581087,-20,0,-46.57,0,-33.21,0,-25.94,0,-17.78,0,0,0,0,0,0,0,50.617283950617285,63.279004756140324,0,0,25,0,55.55555555555556,75.76723186155269,0,0,0,0
9005588930,-25,-33.33,-29.21,11.29,-5.609999999999999,66.94,8.57,81.58,22.56,-65.7,-50,0,0,0,0,-50,43.20987654320987,43.125694530835,0,0,33.3333333333333,-24.99999999999999,55.55555555555556,51.505169731905944,0,0,0,0
9005591035,-60,-50,-57.830000000000005,117.39,5.43,334.78,161.35999999999999,334.78,11.64,0,-50,0,0,0,-50,0,53.125,86.15899733166142,0,0,25,100,62.5,92.51999372745804,0,0,0,0
9005594283,-75,0,-85.78,0,-43.13,0,-42.25,0,0,0,0,0,0,0,-50,0,52,59.459278217613594,0,0,100,0,60,71.74773346536783,0,0,1,0
9005618806,0,-40,-49.830000000000005,178.85999999999999,-49.830000000000005,364.76,36.49,242.19,-90.60000000000001,1379.69,33.33,-25,0,0,0,0,23.07692307692308,39.42056227280784,0,0,0,66.66666666666667,38.46153846153847,59.63710497458181,0,0,0,0
