id_contratista_std,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_entidades_dif,num_annos_activo,num_municipios_dif,pnum_entidades,IRCC,adicion,cont_cerrada
1,113,2138585122,18925532.053097345,4285617,66279959.77145897,11,3,59,6,50,52.21238938053098,16.250909534922645,12.470165868160516,100
117894,2,3917501001,1958750500.5,1958750500.5,2767968787.1408525,2,1,2,2,2,100,74.97127088944109,0,100
157795,12,82649000,6887416.666666667,3375000,10532288.989391651,2,1,2,3,1,16.666666666666664,66.35462170680438,15.72512549489529,100
174151,5,19032519,3806503.8,4550000,2130309.50180536,1,1,2,3,1,40,68.9698901224456,36.75898048767159,100
179058,3,54000000,18000000,10000000,14730919.862656236,3,1,2,2,2,66.66666666666666,60.356652949245536,0,100
184768,7,192707800,27529685.714285713,10000000,48838478.7589809,3,1,6,5,6,85.71428571428571,42.963575519370366,14.40177816214126,100
194204,9,191849300,21316588.888888888,12105000,19878040.37024553,4,1,4,3,5,44.44444444444444,42.04139263244911,0,100
221655,10,129580000,12958000,13800000,8014679.310143635,5,1,3,5,3,30,56.53302903814456,0,100
227319,2,29000000,14500000,14500000,3535533.9059327375,1,1,2,2,2,100,52.52675386444708,0,100
230840,10,509132942,50913294.2,54829000,40928699.317070626,4,2,2,5,2,20,81.25381593580036,40.60056158406568,100
236305,7,108585000,15512142.857142856,6750000,15534207.912738599,1,1,4,3,1,57.14285714285714,42.702194520816974,37.67683750906349,100
241339,2,37800000,18900000,18900000,9758073.580374356,1,1,2,1,2,100,56.229528848576464,15.145502645502646,100
243804,21,172419585,8210456.428571428,6600000,5380427.180726774,2,1,4,4,4,19.047619047619047,40.283698214006634,3.666415333384069,100
255374,2,7546720,3773360,3773360,4029023.7285228292,2,2,2,1,2,100,66.56333800332641,0,100
258485,7,141242776,20177539.42857143,24861528,11551195.302035758,2,1,4,5,1,57.14285714285714,43.46853288679301,47.41292056133727,100
258645,2,8600000,4300000,4300000,989949.4936611665,2,1,2,2,2,100,52.36614386154678,0,100
263572,8,733350000,91668750,110125000,58782083.625515886,2,1,2,3,2,25,54.59787844060206,13.234954634307005,100
267097,3,41000000,13666666.666666666,11000000,5507570.547286102,2,1,2,1,2,66.66666666666666,64.03265252164717,0,100
273079,3,15868000,5289333.333333333,3000000,4521822.788802468,1,1,2,3,1,66.66666666666666,70.46914440289574,0,100
275047,5,131410000,26282000,15050000,22163040.630743787,2,1,2,2,3,40,82.61944499678002,0,100
280516,31,203698478,6570918.645161291,3500000,5705737.615826888,4,1,2,6,3,6.451612903225806,61.5124693992588,0,100
280602,13,75478000,5806000,3100000,5388859.542302682,3,1,2,3,2,15.384615384615385,51.08004434622634,0,100
