parents,info,ids
SGP_Distribución asignaciones SGP por sectores - Total SGP_1,Agua potable,Total SGP_1 - Agua potable
SGP_Distribución porcentual de asignaciones SGP por sectores,Agua potable,SGP_Distribución porcentual de asignaciones SGP por sectores - Agua potable
SGP_Distribución porcentual de asignaciones SGP por sectores,Alimentación escolar,SGP_Distribución porcentual de asignaciones SGP por sectores - Alimentación escolar
SGP_Distribución porcentual de asignaciones SGP por sectores,Educación,SGP_Distribución porcentual de asignaciones SGP por sectores - Educación
SGP_Distribución porcentual de asignaciones SGP por sectores,Fonpet,SGP_Distribución porcentual de asignaciones SGP por sectores - Fonpet
SGP_Distribución porcentual de asignaciones SGP por sectores,Primera infancia,SGP_Distribución porcentual de asignaciones SGP por sectores - Primera infancia
SGP_Distribución porcentual de asignaciones SGP por sectores,Propósito general,SGP_Distribución porcentual de asignaciones SGP por sectores - Propósito general
SGP_Distribución porcentual de asignaciones SGP por sectores,Resguardos indígenas,SGP_Distribución porcentual de asignaciones SGP por sectores - Resguardos indígenas
SGP_Distribución porcentual de asignaciones SGP por sectores,Ribereños,SGP_Distribución porcentual de asignaciones SGP por sectores - Ribereños
SGP_Distribución porcentual de asignaciones SGP por sectores,Salud,SGP_Distribución porcentual de asignaciones SGP por sectores - Salud
SGP_Porcentaje de ejecución presupuestal por sector,Total SGP,SGP_Porcentaje de ejecución presupuestal por sector - Total SGP
SGP_Porcentaje de ejecución presupuestal por sector - Total SGP,Agua,Total SGP - Agua
SGP_Porcentaje de ejecución presupuestal por sector - Total SGP,Alimentación escolar,Total SGP - Alimentación escolar
SGP_Porcentaje de ejecución presupuestal por sector - Total SGP,Cultura,Total SGP - Cultura
SGP_Porcentaje de ejecución presupuestal por sector - Total SGP,Deporte,Total SGP - Deporte
SGP_Porcentaje de ejecución presupuestal por sector - Total SGP,Educación,Total SGP - Educación
SGP_Porcentaje de ejecución presupuestal por sector - Total SGP,Libre destinación,Total SGP - Libre destinación
SGP_Porcentaje de ejecución presupuestal por sector - Total SGP,Libre inversión,Total SGP - Libre inversión
SGP_Porcentaje de ejecución presupuestal por sector - Total SGP,Salud,Total SGP - Salud
