codigo_entidad,indicador,valor,anno,mes
8421,Ingresos totales,25500910000,2014,12
8433,Ingresos totales,95632930000,2014,12
8436,Ingresos totales,23761580000,2014,12
8520,Ingresos totales,17528070000,2014,12
8549,Ingresos totales,7392970000,2014,12
8558,Ingresos totales,11198560000,2014,12
8560,Ingresos totales,14645430000,2014,12
8573,Ingresos totales,60564290000,2014,12
8606,Ingresos totales,25449470000,2014,12
8634,Ingresos totales,28947350000,2014,12
8638,Ingresos totales,67440009999.99999,2014,12
8675,Ingresos totales,9839350000,2014,12
8685,Ingresos totales,22100770000,2014,12
8758,Ingresos totales,356723430000,2014,12
8770,Ingresos totales,9976570000,2014,12
8832,Ingresos totales,10109430000,2014,12
8849,Ingresos totales,8943680000,2014,12
13001,Ingresos totales,1301612000000,2014,12
13006,Ingresos totales,22168720000,2014,12
13030,Ingresos totales,13785510000,2014,12
13042,Ingresos totales,14599940000,2014,12
13052,Ingresos totales,50421650000,2014,12
13062,Ingresos totales,11993670000,2014,12
13074,Ingresos totales,14564060000,2014,12
13140,Ingresos totales,7966790000,2014,12
13160,Ingresos totales,12973870000,2014,12
13188,Ingresos totales,17801230000,2014,12
13212,Ingresos totales,23322210000,2014,12
13222,Ingresos totales,13095000000,2014,12
13244,Ingresos totales,43349350000,2014,12
13248,Ingresos totales,12007610000,2014,12
13268,Ingresos totales,13957310000,2014,12
13300,Ingresos totales,19881170000,2014,12
13430,Ingresos totales,170927380000,2014,12
13433,Ingresos totales,19433770000,2014,12
13440,Ingresos totales,13435140000,2014,12
13442,Ingresos totales,41033540000,2014,12
13458,Ingresos totales,15107430000,2014,12
13468,Ingresos totales,37617770000,2014,12
13473,Ingresos totales,17724040000,2014,12
13490,Ingresos totales,6219010000,2014,12
13549,Ingresos totales,22134250000,2014,12
13580,Ingresos totales,8631580000,2014,12
13600,Ingresos totales,9034390000,2014,12
13620,Ingresos totales,11774920000,2014,12
13647,Ingresos totales,15334390000,2014,12
13650,Ingresos totales,13909100000,2014,12
13654,Ingresos totales,25652190000,2014,12
13655,Ingresos totales,0,2014,12
13657,Ingresos totales,38620490000,2014,12
13667,Ingresos totales,20563080000,2014,12
13670,Ingresos totales,24138680000,2014,12
13673,Ingresos totales,4907610000,2014,12
13683,Ingresos totales,17977670000,2014,12
13688,Ingresos totales,32242020000,2014,12
13744,Ingresos totales,27311880000,2014,12
13760,Ingresos totales,8385969999.999999,2014,12
13780,Ingresos totales,17498200000,2014,12
13810,Ingresos totales,27351090000,2014,12
13836,Ingresos totales,53811330000,2014,12
13838,Ingresos totales,13171590000,2014,12
13873,Ingresos totales,20829500000,2014,12
13894,Ingresos totales,12258410000,2014,12
52001,Ingresos totales,462886250000,2014,12
52019,Ingresos totales,11765060000,2014,12
52022,Ingresos totales,8838320000,2014,12
52036,Ingresos totales,8954390000,2014,12
52051,Ingresos totales,12842720000,2014,12
52079,Ingresos totales,28788830000,2014,12
52083,Ingresos totales,8068130000,2014,12
52110,Ingresos totales,23997750000,2014,12
52203,Ingresos totales,9905010000,2014,12
52207,Ingresos totales,11749380000,2014,12
52210,Ingresos totales,9662150000,2014,12
52215,Ingresos totales,21934010000,2014,12
52224,Ingresos totales,16261430000,2014,12
52227,Ingresos totales,30869740000,2014,12
52233,Ingresos totales,17008180000,2014,12
52240,Ingresos totales,21702530000,2014,12
52250,Ingresos totales,33215390000,2014,12
52254,Ingresos totales,10630590000,2014,12
52256,Ingresos totales,17150160000,2014,12
52258,Ingresos totales,12335280000,2014,12
52260,Ingresos totales,14124140000,2014,12
52287,Ingresos totales,11921870000,2014,12
52317,Ingresos totales,18734310000,2014,12
52320,Ingresos totales,15120290000,2014,12
52323,Ingresos totales,8445240000,2014,12
52352,Ingresos totales,10167910000,2014,12
52354,Ingresos totales,16789540000,2014,12
52356,Ingresos totales,137026250000,2014,12
52378,Ingresos totales,26071640000,2014,12
52381,Ingresos totales,13076700000,2014,12
52385,Ingresos totales,10595840000,2014,12
52390,Ingresos totales,13513540000,2014,12
52399,Ingresos totales,25452250000,2014,12
52405,Ingresos totales,11504880000,2014,12
52411,Ingresos totales,11288710000,2014,12
52418,Ingresos totales,22141920000,2014,12
52427,Ingresos totales,14611450000,2014,12
52435,Ingresos totales,10059870000,2014,12
52473,Ingresos totales,11937730000,2014,12
52490,Ingresos totales,21407220000,2014,12
52506,Ingresos totales,5219410000,2014,12
52520,Ingresos totales,11008990000,2014,12
52540,Ingresos totales,17018240000.000002,2014,12
52560,Ingresos totales,13394720000,2014,12
52565,Ingresos totales,14069380000,2014,12
52573,Ingresos totales,17841420000,2014,12
52585,Ingresos totales,17274110000,2014,12
52612,Ingresos totales,20614690000,2014,12
52621,Ingresos totales,16750009999.999998,2014,12
52678,Ingresos totales,32641540000,2014,12
52683,Ingresos totales,22773660000,2014,12
52685,Ingresos totales,14710530000,2014,12
52687,Ingresos totales,25159120000,2014,12
52693,Ingresos totales,19460570000,2014,12
52694,Ingresos totales,12744620000,2014,12
52696,Ingresos totales,15322590000,2014,12
52699,Ingresos totales,13373210000,2014,12
52720,Ingresos totales,8803540000,2014,12
52786,Ingresos totales,18125740000,2014,12
52788,Ingresos totales,14902110000,2014,12
52835,Ingresos totales,243401960000,2014,12
52885,Ingresos totales,16429900000.000002,2014,12
52838,Ingresos totales,28645950000,2014,12
54001,Ingresos totales,645130800000,2014,12
54003,Ingresos totales,30783200000,2014,12
54051,Ingresos totales,8374990000,2014,12
54099,Ingresos totales,8470629999.999999,2014,12
54109,Ingresos totales,6583620000,2014,12
54125,Ingresos totales,7932550000,2014,12
54128,Ingresos totales,8331080000,2014,12
54172,Ingresos totales,10383580000,2014,12
54174,Ingresos totales,13430320000,2014,12
54206,Ingresos totales,16248440000,2014,12
54223,Ingresos totales,9604960000,2014,12
54239,Ingresos totales,5975580000,2014,12
54245,Ingresos totales,17246270000,2014,12
54250,Ingresos totales,14511630000,2014,12
54261,Ingresos totales,15925950000,2014,12
54313,Ingresos totales,9244810000,2014,12
54344,Ingresos totales,12599810000,2014,12
54347,Ingresos totales,5780960000,2014,12
54377,Ingresos totales,9691030000,2014,12
54385,Ingresos totales,12280880000,2014,12
54398,Ingresos totales,9333670000,2014,12
54405,Ingresos totales,43039320000,2014,12
54418,Ingresos totales,7212690000,2014,12
54480,Ingresos totales,8130330000,2014,12
54498,Ingresos totales,58517930000,2014,12
54518,Ingresos totales,29092690000,2014,12
54520,Ingresos totales,6900870000,2014,12
54553,Ingresos totales,12361730000,2014,12
54599,Ingresos totales,7224160000,2014,12
54660,Ingresos totales,9532060000,2014,12
54670,Ingresos totales,12729150000,2014,12
54673,Ingresos totales,7472970000,2014,12
54680,Ingresos totales,5615910000,2014,12
54720,Ingresos totales,17333750000,2014,12
54743,Ingresos totales,7954690000,2014,12
54800,Ingresos totales,16297150000,2014,12
54810,Ingresos totales,44950170000,2014,12
54820,Ingresos totales,17330390000,2014,12
54871,Ingresos totales,7702470000,2014,12
54874,Ingresos totales,62008560000,2014,12
15001,Ingresos totales,217002640000,2014,12
15022,Ingresos totales,6425640000,2014,12
15047,Ingresos totales,16830840000,2014,12
15051,Ingresos totales,11748660000,2014,12
15087,Ingresos totales,11092530000,2014,12
15090,Ingresos totales,5655980000,2014,12
15092,Ingresos totales,6178680000,2014,12
15097,Ingresos totales,12050210000,2014,12
15106,Ingresos totales,6410520000,2014,12
15109,Ingresos totales,7717030000,2014,12
15114,Ingresos totales,4120380000,2014,12
15131,Ingresos totales,6619260000,2014,12
15135,Ingresos totales,8787420000,2014,12
15162,Ingresos totales,5123350000,2014,12
15172,Ingresos totales,6266390000,2014,12
15176,Ingresos totales,40427600000,2014,12
15180,Ingresos totales,7601490000,2014,12
15183,Ingresos totales,13002900000,2014,12
15185,Ingresos totales,16919220000.000002,2014,12
15187,Ingresos totales,10773800000,2014,12
15189,Ingresos totales,7717810000,2014,12
15204,Ingresos totales,13089280000,2014,12
15212,Ingresos totales,7869680000,2014,12
15215,Ingresos totales,5602370000,2014,12
15218,Ingresos totales,7718740000,2014,12
15223,Ingresos totales,15065110000,2014,12
15224,Ingresos totales,8982670000,2014,12
15226,Ingresos totales,4921930000,2014,12
15232,Ingresos totales,7113210000,2014,12
15236,Ingresos totales,6930070000,2014,12
15238,Ingresos totales,110920000000,2014,12
15244,Ingresos totales,10781530000,2014,12
15248,Ingresos totales,6018220000,2014,12
15272,Ingresos totales,6110870000,2014,12
15276,Ingresos totales,5859000000,2014,12
15293,Ingresos totales,8948920000,2014,12
