codigo_entidad,ine_coberturaNeta_1,ine_coberturaNeta_2,ine_coberturaNeta_3,ine_tasaDesercion_1,ine_tasaDesercion_2,ine_tasaDesercion_3,ine_tasaRepitencia_1,ine_tasaRepitencia_2,ine_tasaRepitencia_3,ine_tasaAnalfabetismo_3,ine_porcentajeAsistencia_3,ine_pruebaLecturaMatematicas_1,ine_pruebaLecturaMatematicas_2,ine_pruebaLecturaMatematicas_3,ine_pruebaLecturaCritica_1,ine_pruebaLecturaCritica_2,ine_pruebaLecturaCritica_3
15790,8013,7905,8378,194.5,270,237.5,52,8.5,0,580,7323,5142,5288.5,5580,4730.5,5274.5,5376
15798,8237,7968.5,8221,125.5,264,130,111,0,9.5,788,7717,5006,5531,5632,4907.5,5419,5574
15804,8045,7992,8130,128,176,182.5,134.5,53,19.5,1054,7302,5293.5,5507.5,5400,4955.5,5269,5240
15806,6227,6379.5,7197,247.5,238,317.5,55.5,163,144,411,8065,5371.5,5759,5776,5150.5,5528,5424
15808,7041.5,7212.5,8219.5,187.5,183.5,161,0,0,0,664,8312,5450,5229.5,5636,5009.5,5243.5,5388
15810,9097,9687,9502,77,118,142.5,46,78.5,92,1098,7543,4872.5,5146.5,5085,4897.5,5138,5107
15814,7982,8009,9051,216,230,255.5,200.5,204,234.5,470,6874,4918,4933.5,4846,4780.5,5061.5,5055
15816,7557.5,7896.5,8636.5,343.5,329,377.5,333.5,199.5,172.5,1029,7542,5273,5221,5315,4920,5253,5180
15820,8809.5,8528.5,8315,158.5,157,219,69,61,183,546,7447,5183.5,5421,5244,4892.5,5331.5,5258
15822,9535,9575.5,9269.5,214,269,255,43.5,18.5,10,1122,7766,4765.5,4729.5,5102,4513.5,4728.5,4911
15832,7642,6931,8454,152,170.5,265.5,15,0,103,943,8072,4485,4257,4705,4444,4697.5,5005
15835,10958,11105.5,11716,138.5,138.5,64,15.5,3,43.5,816,7970,5178,5434.5,5647,4927.5,5384,5439
15837,9236,8912.5,10169.5,195.5,176,172.5,42,150,18,500,7758,5135,5484.5,5727,4945,5364,5476
15839,12637,12508,10902.5,137,296,145,0,139.5,0,705,8491,5188.5,5093,5141,4639,5047,4945
15842,5191.5,4931,6208.5,141,148,134,10,25,0,874,7714,4948.5,5013.5,5088,4738.5,5083,5123
15861,8276,8098.5,8279,223.5,272.5,230,10,92.5,3.5,593,7013,4942,5268,5392,4809,5216,5310
15879,7276.5,6372.5,6487.5,150.5,291.5,302,0,405,59,809,6846,5097.5,5216,5218,4875.5,5098.5,5056
15897,9858,9967.5,9418,144.5,365,205.5,130.5,35.5,73,1389,7468,5066.5,5090.5,5263,4793.5,5122,5318
17000,7989.5,7656,8010,316,387.5,313.5,449.5,262,351.5,507,7093,4969.5,4992.5,4995,4995.5,5243.5,5282
17001,8390.5,8087.5,8014,294.5,277.5,246,559.5,437.5,706.5,0,0,5268.5,5310.5,5299,5257,5460.5,5522
