codigo_entidad,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3
5197,1.52,0,-7.61,0,-82.24000000000001,0,-6.279999999999999,0,-3.16
5206,-24.51,49.830000000000005,0,-60.47,0,1.26,0,12.18,0
5206,-19.189999999999998,0,12.3,0,-63.49,0,-4.130000000000001,0,-6.36
5209,7.61,14.610000000000001,0,-18.95,0,-4.66,0,3.74,0
5209,-1.23,0,-13.780000000000001,0,-40.69,0,0.03,0,-0.9299999999999999
5212,-2.15,39.79,0,-43.99,0,-0.47000000000000003,0,3.7699999999999996,0
5212,3.73,0,-22.36,0,-4.68,0,0.45999999999999996,0,0.32
5234,10.99,66.46,0,371.57,0,-3.44,0,3.53,0
5234,-4.66,0,2.13,0,-27.13,0,-1.4000000000000001,0,-1.63
5237,-9.02,-2.09,0,80.61,0,6.21,0,8.52,0
5237,13.69,0,-20.62,0,-56.36,0,-1.29,0,-2.85
5240,-9.48,93.49,0,3.73,0,-5.29,0,1.71,0
5240,2.39,0,-16.06,0,-67.89,0,2.27,0,0.73
5250,-5.3100000000000005,4.83,0,-52.62,0,-2.82,0,4.31,0
5250,-8.690000000000001,0,9.790000000000001,0,27.76,0,0.74,0,0.61
5264,-10.59,41.39,0,28.28,0,-3.75,0,0.97,0
5264,2.19,0,51.980000000000004,0,3.74,0,1.76,0,0.41000000000000003
5266,-5.47,29.67,0,-7.55,0,-0.61,0,3.52,0
5266,23.36,0,63.239999999999995,0,6.61,0,1.69,0,2.0500000000000003
5282,-7.000000000000001,16.18,0,-12.36,0,-1.37,0,4.37,0
5282,-7.359999999999999,0,-26.75,0,-39.290000000000006,0,-4.24,0,-1.08
5284,5,21.16,0,-28.060000000000002,0,2.23,0,8.19,0
5284,-10.879999999999999,0,-9.92,0,45.93,0,-4.04,0,-3.9600000000000004
5306,-0.67,-35.96,0,-29.69,0,-11.98,0,-3.8899999999999997,0
5306,-17.76,0,32.019999999999996,0,-29.609999999999996,0,-1.5699999999999998,0,2.04
5308,-7.84,72.75,0,-64.35,0,4.33,0,8.129999999999999,0
5308,18.84,0,-0.97,0,97.36,0,-1.11,0,0.47000000000000003
5310,-11.62,13.309999999999999,0,-36.6,0,2.7199999999999998,0,7.9,0
5310,18.72,0,39.519999999999996,0,0.84,0,-8.42,0,-5.38
5313,-2.19,205.23,0,-65.10000000000001,0,-2.62,0,3.52,0
5313,-2.73,0,-23.9,0,-24.529999999999998,0,3.5700000000000003,0,3.39
5315,-12.46,72.84,0,45.629999999999995,0,2.11,0,13.69,0
5315,-13.96,0,-5.949999999999999,0,-48.559999999999995,0,-9.43,0,-5.79
5318,-6.510000000000001,10.059999999999999,0,8.709999999999999,0,1.79,0,4.79,0
5318,9.91,0,13.71,0,-7.090000000000001,0,2.5100000000000002,0,3.75
5321,4.66,28.08,0,-53.52,0,-1.41,0,6.510000000000001,0
5321,-10.93,0,22.13,0,-41.61,0,-3.4799999999999995,0,-0.47000000000000003
5347,-5.25,56.86,0,85.00999999999999,0,-8.05,0,0.96,0
5347,14.38,0,-13.41,0,-13.29,0,-0.6,0,3.6799999999999997
5353,-7.33,-53.339999999999996,0,-5.6000000000000005,0,-0.74,0,6.9,0
5353,-1.39,0,-76.79,0,42.57,0,-7.000000000000001,0,-2.7
5360,-2.56,122.42999999999999,0,176.65,0,-1.5699999999999998,0,3.46,0
5360,11.37,0,-16.520000000000003,0,-34.86,0,-0.33999999999999997,0,1.15
5361,-3.4299999999999997,21.69,0,79.97,0,-8.59,0,0.29,0
5361,-7.99,0,6.660000000000001,0,-52.76,0,-0.02,0,0.8999999999999999
