codigo_entidad,inf_ingresos_m_1,inf_ingresos_m_2,inf_ingresos_m_3,inf_financiamiento_m_1,inf_financiamiento_m_2,inf_financiamiento_m_3,inf_regaliaspc_m_1,inf_regaliaspc_m_2,inf_regaliaspc_m_3,inf_nproyectos_m_1,inf_nproyectos_m_2,inf_nproyectos_m_3,inf_vproyectos_m_1,inf_vproyectos_m_2,inf_igpr_m_2,inf_igpr_m_3,inf_desempennofiscal_m_1,inf_desempennofiscal_m_2,inf_desempennofiscal_m_3,inf_peducacion_m_1,inf_peducacion_m_2,inf_peducacion_m_3,inf_psalud_m_1,inf_psalud_m_2,inf_psalud_m_3
5101,24298125000,26356360000,35814070000,360040000,-481560000,5058770000,64376.715,1664.735,72365.6,4,3.5,1,67140269.2,440326234,68.98666666666666,90.9875,68.00999999999999,71.695,73.36,8.965,8.535,6.699999999999999,56.175,58.41,60.11
5107,17409385000,21509220000,24096640000,-1096870000,-449125000,3706810000,53172.07,0,67373.67,0,1,0,0,0,52.85666666666667,67.39333333333333,80.035,83.125,81.64,8.280000000000001,6.355,4.02,29.35,28.755,30.94
5113,12256595000,12182845000,16954840000,-1409870000,-1042085000,2131965000,135802.19,74726.16500000001,110212.08499999999,1,1,1,0,341039243,75.49,69.73125,64.835,60.835,65.83,6.885,5.305,4.395,24.205,26.595,30.15
5120,26379850000,29351175000,35742290000,1673570000,-1184355000,-4084775000,90100.6,34702.665,69787.4,0,3.5,1,5326523858,1720121434.43,63.705,71.76875,69.63,54.375,64.34,12.45,10.98,7.845,49.445,47.519999999999996,49.17
5125,10381845000,12457215000,16278465000,526240000,-1186065000,-2125405000,51691.89,26141.415,29658.455,0,3,0,722155971,0,67.19833333333332,62.4975,62.349999999999994,62.400000000000006,61.75,6.245,5.8,4.24,31.32,31.475,32.1
5129,48288225000,50046610000,64647600000,-115940000,-198105000,-6070380000,1266.29,11987.56,21252.975,0,0,0,0,0,0,89.292,78.16499999999999,75.85499999999999,78.47,15.155,14.26,12.295,44.185,43.019999999999996,45.66
5134,11306635000,14612155000,17013150000,961260000,-881900000,-104370000,95967.58499999999,48204.165,75685.91,1,3,0,583235804,0,69.17666666666666,75.7175,61.275,56.55500000000001,58.98,9.11,5.58,4.390000000000001,25.775,23.995,26.205
5138,22472240000,22633240000,27435120000,3669620000,-748480000,2365200000,371353.42000000004,183175.44999999998,91723.515,1,2,5,2808989090.54,0,61.505,67.38375,65.91999999999999,63.855,66.51,10.865,7.53,5.5,37.39,37.864999999999995,43.245000000000005
5142,7001380000,7165950000,9684760000,320655000,513325000,1297520000,162955.94,23322.17,168533.06999999998,1,3.5,0,100569753,0,69.77666666666667,79.17625,63.93,61.22,61.56,5.154999999999999,3.815,3.66,29.895,27.275,32.85
5145,5916435000,6535965000,9068805000,-38540000,40955000.00000001,-336789999.99999994,17418.875,2494.02,2851.835,0,5,0,186800534,0,62.86333333333334,51.13,63.42,56.405,62.37,6.11,5.15,3.9299999999999997,35.8,36.57,36.625
5147,38482205000,43365390000,52634265000,5879615000,-2309315000,8171185000,45416.365,40802.229999999996,50555.895,1,4,2,4879697289.57,0,67.71166666666667,69.5975,73.94,71.15,71.84,14.515,13.685,9.965,46.76,49.675,55.25
5148,38584230000,43242650000,57865040000,6307705000,713650000.0000002,795460000,53451.3,14382.18,23285.355,1,1.5,0,766910348,0,53.736666666666665,90.3425,77.825,77.35499999999999,78.2,15.08,15.315,11.625,46.055,46.28,48.975
5150,9438945000,8648120000,12744615000,654865000,472750000,-730855000,78522.725,13277.955,0,4,1,2,157666092,0,54.662,92.61666666666666,68.16499999999999,63.89,68.21,7.225,5.8100000000000005,5.140000000000001,30.200000000000003,27.23,29.009999999999998
5154,91639720000,97798865000,122839365000,3000880000,5700355000,10649970000,134904.755,68768.015,97770.67,2,8.5,0,14484115947.96,746325843,73.90333333333334,76.6225,77.88,75.50999999999999,79.08,11.260000000000002,11.58,8.59,54.935,58.885000000000005,64.725
5172,54996210000,62717680000,69738815000,8306305000,-3685375000,-6502445000,129243.705,35961.91,111212.585,1,2.5,1,7061079883.4,53934749,54.79333333333333,67.625,73.24000000000001,75.22999999999999,73.52,11.975,12.365,9.085,49.83,50.74,54.475
5190,13261675000,11786890000,16938055000,1956460000,-186295000,1367015000,131080.435,18249.665,128574.295,1,0,0,639576115.25,0,63.53666666666667,79.7975,70.405,70.33500000000001,70.28,6.52,6.015000000000001,4.865,44.525000000000006,45.53,45.28
5197,18076555000,20025445000,24712115000,92200000,-867915000,-1024010000,104991.965,71142.58,46388.78999999999,1,5,0,469654928.2,0,67.74666666666667,76.0125,67.575,68.135,69.86,9.375,7.355,5.51,43.135000000000005,45.54,49.44
5206,9832945000,7778540000,10814905000,246320000,810990000,-844495000,122468.965,4906.55,236531.15499999997,5,1,0,173148838,0,75.56,0,71.315,62.114999999999995,66.83,4.88,3.475,3.4699999999999998,33.72,33.17,39.34
5209,18754935000,21243000000,27046455000,455275000,-218035000,2451490000,84614.33499999999,16281.78,61880.49,0,1.5,1,715018383,209256757,91.34666666666666,95.52714285714285,67.255,66.625,69.31,8.265,7.16,5.285,46.870000000000005,46.095,50.739999999999995
5212,59167895000,61708860000,69307560000,10141115000,-4249140000,5586290000,52.625,30.055,0,0,0,0,0,0,0,0,83.235,79.87,80.03,15.825,15.395,13.08,44.785,46.32,49.985
5234,24627095000,22599315000,34689620000,-1435845000,-1694430000,-4732885000,66405.86499999999,76408.405,9433.135,1,1.5,0,1489668364.93,0,54.595,65.1425,64.65,58.05,52.09,11.48,9.395,6.904999999999999,40.085,43.485,48.085
5237,20843950000,20503430000,25802910000,1149415000,-2643505000,3997145000,47935.675,54841.17999999999,58003.36,3,1,0,466038092.48,957454544,65.535,67.6625,78.35,73.935,71.3,8.67,9.58,7.404999999999999,32.53,33.425,35.56
5240,11906905000,15857760000,17824670000,1178035000,-516430000,827505000,31783.22,50968.775,83206.155,2,2.5,4,774332585,0,72.80666666666667,73.91125,65.025,64.59,63.2,8.365,6.890000000000001,5.2,38.92,38.75,40.3
5250,58623480000,60779900000,71948140000,3813845000,1355295000,-2617430000,112267.185,85709.96,131758.59999999998,2,7.5,1,10884157032.05,0,57.9,57.33625,68.955,64.235,68.77,12.075,12.045,8.745,56.515,60.315,65.055
5264,11904130000,14662155000,18321075000,294440000,-1047345000,4279175000,69660.185,56851.27,104550.515,0,4.5,1,721822112,0,70.28,80.66375000000001,67.675,68.87,73.42,9.565,9.085,6.81,31.795,31.375,30.134999999999998
5266,330109560000,403549085000,443019170000,-8775645000,9577350000,8065375000,131.75,2.715,1.225,0,0,0,0,0,0,0,84.36500000000001,82.4,83.82,67.565,68.66499999999999,70.49000000000001,14.879999999999999,11.265,11.8
5282,15008580000,16853415000,21290355000,-2556080000,-151855000,7622190000,17580.135,40759.63,22588.605,1,2,1,447064583,274211219,66.69,73.1175,60.92999999999999,56.400000000000006,72.53,10.565,10.585,8.584999999999999,41.605000000000004,40.519999999999996,42.91
5284,18873785000,23696940000,29206535000,-80835000,-995125000,1257945000,72342.175,461.805,13606.355,1,2,0,1163752374,0,69.2175,86.67,64.22,61.185,62.74,11.27,8.62,7.01,46.58,50.935,54.195
5306,11159785000,8890500000,11144510000,-2457380000,-201025000,2586895000,1011382.815,55066.01,39088.29,1,2,0,352915122,0,52.96333333333333,50.03125,67.67,63.22,68.1,6.555,6.22,4.07,24.975,24.439999999999998,26.98
5308,49063710000,60260230000,75640440000,6788870000,-6564890000,7342240000,1597.565,266.045,34.879999999999995,0,1,0,16474403285,0,0,0,82.015,80.37,81.72,11.295000000000002,10.885,8.68,45.39,46.16,48.730000000000004
5310,11614245000,13438195000,18386460000,1901230000,491215000,138800000,34411.020000000004,15203.91,0,1,2,1,0,1942535209,72.00333333333333,80.54833333333333,69.34,63.89,63.21,7.18,5.745,4.529999999999999,27.795,27.675,29.53
5313,11626535000,12133625000,22964750000,585990000,725655000,-795070000,72120.34,5025.685,374318.03,0,8,2,407616032,168691800,84.08333333333333,79.91125,65.535,66.865,70.42,8.719999999999999,6.38,5.279999999999999,41.67,42.905,44.775
5315,12127830000,10905790000,14504625000,3380615000,-620310000,3284115000,72540.705,0,79023.06999999999,0,2,0,1985282554,0,75.1775,77.42,70.11,65.245,65.66,6.23,4.765,3.6550000000000002,28.235,28.295,31.51
5318,43582890000,47838740000,64800110000,1713785000,2180145000,5872080000,41607.655,15134.99,26779.225000000002,0,3,0,778827489,0,71.79,80.8075,82.35,84.455,87.04,11.975,11.065000000000001,9.375,42.715,41.504999999999995,44.875
5321,12494190000,12860170000,15138185000,1049490000,-900584999.9999999,-206755000,104560.39499999999,83984.035,34894.38,0,1,0,0,0,50.11666666666667,66.87375,77.96000000000001,74.88499999999999,77.22,7.99,7.535,6.63,33.665,34.545,38.08
5347,9505155000,9032885000,9562325000,1505915000,1353440000,269870000,124760.43,63217.835,0,0,2.5,0,902594767.52,0,68.27666666666667,97.75,65.685,59.07,59.49,5.625,4.85,3.745,32.505,30.93,34.37
