codigo_entidad,inf_ingresos_m,inf_ingresos_sd,inf_financiamiento_m,inf_financiamiento_sd,inf_desempennofiscal_m,inf_desempennofiscal_sd,inf_igpr_m,inf_igpr_sd,inf_nproyectos_m,inf_nproyectos_sd,inf_peducacion_m,inf_peducacion_sd,inf_psalud_m,inf_psalud_sd,inf_regaliaspc_m,inf_regaliaspc_sd,inf_vproyectos_m,inf_vproyectos_sd
70717,27041753333.333332,3135477425.71154,1043396666.6666666,5240523359.389467,73.05199999999999,2.6518427555192665,62.735,0.30533451600935285,4,2.449489742783178,8.363333333333333,1.3333366666625,47.45666666666666,3.4066973253675856,172995.11333333334,228108.9644208653,1693576693.4666665,2676643583.038901
70742,35489416666.666664,4243002218.40935,4152208333.3333335,5265266348.273055,68.168,10.171163650241796,84.21979166666667,3.3566971045045055,6.25,5.909032633745278,8.001666666666667,1.5854641801903526,56.178333333333335,1.6235937505012343,97490.58833333333,101881.05748124396,4587931829.530001,6654691578.469685
70820,36490068333.333336,19352585656.743046,7000063333.333333,21971641387.843254,75.398,1.6715023182753925,54.116875,5.2593628317347845,6.8,3.7682887362833544,9.971666666666666,1.932080916179927,55.32,4.863973684139337,277138.11333333334,309867.81326807453,6927995779.133333,8983803820.394493
70823,33426635000,7790323831.638194,4393076666.666667,5700943692.90091,66.172,8.40608529578424,64.5725,4.695667772887405,6,4.47213595499958,9.2716666666666665,1.6470023274624315,48.81166666666667,3.2798196088606266,365210.695,416865.71068554634,2346211530.976667,2031898726.481789
73001,613687976666.6666,106761420879.61057,41997545000,43818323312.365,76,1.8312427474259083,NaN,NA,2.25,1.8929694486000912,70.09333333333333,1.084761110414025,19.501666666666665,1.3431219850284146,351.21,453.51844584316524,3719966969.55,5260827739.917553
73024,8804480000,1238897492.1437204,816053333.3333334,733368801.1816883,65.99799999999999,4.014445167143275,72.476875,6.3227500527196785,3,2.6457513110645907,4.66,1.3392236557050505,27.043333333333333,1.3029300313779961,68258.23833333333,22833.69813784742,197073579.705,278704129.20422614
73026,18364223333.333332,5085926424.511729,-1525126666.6666665,5611971733.591205,76.554,1.6048302090875526,60.572500000000005,5.375832881207029,2.25,1.8929694486000912,6.121666666666667,1.6414556547974932,29.115000000000002,2.117600056667925,369750.61,417407.54380176624,419979153.485,593940214.7724587
73030,9515018333.333334,1788565890.2194982,1089590000,1632614347.3582487,66.26,1.6116140977293552,67.31625,4.14581541034652,1.75,0.9574271077563381,5.506666666666667,0.48561987878037566,27.653333333333336,2.0452742277422526,125076.38833333334,248280.48042869565,727813431.23,948983454.3454322
73043,16600695000,2930777077.1913037,1602383333.3333333,1823627150.167124,63.577999999999996,3.922138447326915,67.73125,7.433621117373866,2,1,6.413333333333333,2.0629267235330166,25.318333333333335,1.6751169113428077,75304.22333333333,128267.4571554649,806326177.22,407754790.21171254
73055,15697408333.333332,2405913364.4702725,542983333.3333334,1806233850.3047347,73.062,2.1017302395883237,73.03770833333334,9.928263046377023,3,2.6457513110645907,7.82,1.3873139514904336,36.156666666666666,1.7178319669474849,57332.85333333333,23719.967095867283,276982501.6666667,413225434.36433816
73067,22294475000,4424290734.220571,2270753333.3333335,5858711610.429948,61.012,5.078865030693372,55.323125,7.9218867110367075,2.25,0.9574271077563381,10.49,2.587554830336934,41.45166666666667,1.673217459467438,27421.6,38536.460133036606,968051949.1433333,1341482372.3073921
73124,21322060000,7734030725.607444,241620000,3803792585.0025,70.012,1.7618654886227836,69.39875,3.7915412982936942,3.5,3.5355339059327378,8.323333333333334,1.4066793048405404,49.5,5.576152795610968,17043.413333333334,26820.624634297143,1009098442,NA
73148,13087266666.666666,1192946798.18786,-365470000,1164226778.166522,73.78,2.3656817199276823,76.136875,5.964166390130867,1.8,1.3038404810405297,7.215,1.0963895293188455,34.2,2.5181104026630754,63290.97333333333,45286.719972648345,518473918.555,733232847.3572044
73152,9594088333.333334,1512082822.4196804,305768333.3333333,443114058.15734017,63.856,3.0766426506827234,72.815,2.1473108182096032,2.5,0.7071067811865476,6.128333333333333,1.861133167365158,34.01166666666666,2.6409348092421108,73265.33333333333,97905.52310840889,458181948,NA
73168,49661431666.666664,5080524206.581115,3499730000,4163556046.1461306,72.04,2.887343069328615,67.63625,1.8903499455568173,5,4.242640687119285,11.901666666666667,3.123814441778939,61.04833333333333,3.9892376046892286,64420.16166666667,84242.00037014825,1186944256.9099998,854849005.8257977
73200,13178673333.333334,1321670406.7000468,2251671666.6666665,2232170589.927362,73.30199999999999,1.3930793229389324,68.933125,0.5502021408839963,2,0,6.306666666666667,1.048401958538168,25.855,0.4863229379743466,115203.13833333334,89170.22277886097,1729124029.59,2445350653.671395
73217,29954213333.333332,4920461100.863075,607576666.6666666,820673948.9630865,71.1,2.6536013264995173,64.416875,6.503761852125789,4,0,10.61,2.504531892390273,40.645,8.804264307709078,89205.09,75148.72999027249,20711363554,NA
73226,10897326666.666666,1723807668.0264149,547340000,2077132347.7814312,57.504,11.772486143546741,65.4075,5.143045466128669,2,NA,7.708333333333334,1.8944383512446814,35.56,1.8561142206232903,42261.138333333336,48097.69454815872,25824107,36520802.35557398
73236,10652871666.666666,2294921279.5424304,980846666.6666666,1518355720.1218252,61.763999999999996,1.7586870102437204,74.261875,1.3951722937209783,2.3333333333333335,0.5773502691896257,6.816666666666666,1.711451625570138,36.71666666666667,2.445491089058937,60782.405,31035.815543696448,233541564.12333333,226481336.3942394
73268,71783763333.33333,9843736115.48515,3079445000,5599834045.625816,77.418,1.6874744442509342,60.390625,2.877674390168792,3.6,1.140175425099138,9.615,1.3379947683006834,59.265,3.4805904671477785,41047.41666666667,28799.734696113206,2814170112.653333,2551534762.5578065
73270,11483086666.666666,2650675221.4231505,534471666.6666667,1734187821.239864,66.776,3.9142087322982655,76.133125,6.015220062128511,1.4,0.5477225575051661,8.1466666666666665,1.875778949307905,36.05833333333333,1.6232241578619586,137925.16333333333,219333.87047920335,417171790.5,589970003.9645675
73275,26026508333.333336,5578398479.504371,-1733043333.3333333,1750413861.6186364,77.94,1.666118243102809,58.226875,4.899784168290817,2,1,9.911666666666667,0.820692796767869,40.67166666666667,2.6997512231068,32361.386666666665,22205.842340070478,267215398.065,377899640.0184483
