codigo_entidad,ine_coberturaNeta_m,ine_coberturaNeta_sd,ine_tasaDesercion_m,ine_tasaDesercion_sd,ine_tasaRepitencia_m,ine_tasaRepitencia_sd,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaMatematicas_sd,ine_pruebaLecturaCritica_m,ine_pruebaLecturaCritica_sd
1001,8660.833333333334,285.73093403876777,319.1666666666667,27.491210716639358,220.33333333333334,67.26564254258385,518,7021,5011,37.16180835212409,5151.2,159.4700598858607
5000,8885.333333333334,336.8018210560428,379.3333333333333,74.96310203471216,367.3333333333333,157.67646199311636,446,6797,4903,56.92099788303083,5140.8,150.41675438593933
5001,10228.5,298.29565870122883,347,85.50087718848269,411.8333333333333,318.90212709649126,NaN,NaN,5012.8,70.12631460443362,5261.6,186.43309791987045
5002,8436.666666666666,631.2481815155325,307.3333333333333,103.6506954470961,428.1666666666667,236.52350129884908,1015,6813,4851.2,74.72081370006619,5073,133.1746972964459
5004,8975,1193.164364201345,183.33333333333334,155.3288983630112,307.5,276.2902459371304,697,6941,4536,191.0641253610944,4835.8,328.49003029011396
5021,10647,1553.285035014501,227.5,83.67735655480519,299.8333333333333,253.98221722527478,863,7415,4784.6,145.78511583834612,5069.8,231.56575739949116
5030,7049.5,603.1642396561653,466.6666666666667,93.77775144812689,493.6666666666667,215.46105603256163,758,5941,4606.4,55.13891547718363,4955.8,179.82825139560248
5031,9044.833333333334,775.5486874894875,480.1666666666667,156.62236962409509,498.1666666666667,306.7783673381594,1041,6813,4615.8,143.5189882907485,4817,122.39076762566692
5034,7835.333333333333,575.5528356864091,433.8333333333333,87.84854390749267,481,312.3113830778507,985,6599,4792,67.01492371106603,5032.6,129.1251331073854
5036,6856.166666666667,1400.070200620907,301,177.37869094116124,285.3333333333333,370.00198197667356,975,6559,4659.2,172.60706822143757,5006,135.44556101991677
5038,9697,1233.0000811029981,477,223.23978140107556,273.6666666666667,331.8437383267412,1336,7064,4212.4,145.5551441894102,4495.8,99.5072861653859
5040,9167.333333333334,476.59444674342006,434,142.765542061101,386.5,292.358512788665,1081,6607,4162.8,171.2007593441104,4522,155.9439001692596
5042,9785.166666666666,488.7937874673395,566.6666666666666,125.7102488529343,339.5,265.6921150504847,880,6863,4597.2,202.38873486436935,4899.6,240.2962754601078
5044,7599.166666666667,799.8153328529446,342.8333333333333,161.2568344804854,68.66666666666667,88.47975286282544,1530,6706,4621.4,225.62867725535244,4831,205.24132137559434
5045,6726.333333333333,1673.4450294726346,479.8333333333333,90.74230913232628,172.33333333333334,135.27995663314897,544,6936,4610.8,74.25092592015267,4898.8,185.74633239986193
5051,7805.333333333333,1226.1501811224703,318.8333333333333,121.47331668587412,438,393.4544446311415,1307,7410,4331.2,189.57241360493356,4507.8,146.1324741458927
5055,7654.166666666667,601.0818302582991,474.1666666666667,160.90794469716735,486.8333333333333,143.72392517137385,998,6901,4370.6,100.5624184275617,4684,157.50714269518065
5059,6838.833333333333,687.736989456483,393,126.18082263165033,794.5,361.42979954619125,1781,7199,5004.6,148.28452380474505,5153.4,240.3805316576199
5079,7389.833333333333,699.5308189541521,310.3333333333333,71.70959954334333,337,214.4378697898298,563,7024,4697,50.06995106848019,4995.4,150.78063536144157
